ID,Description,Description_QuickGO,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GO
GO:0042147,"retrograde transport, endosome to Golgi ","retrograde transport, endosome to Golgi",0.021978022,0.003707297,0.045041411,0.099299125,0.054799721,evm.utg1345.2/evm.utg1420.4,2,biological_processes
GO:0042277,G protein-coupled receptor activity ,peptide binding,0.024390244,0.004026535,0.013606034,0.077697712,0.049258119,evm.utg234.132/evm.utg324.183/evm.utg4607.34,3,molecular_functions
GO:0042803,protein homodimerization activity ,protein homodimerization activity,0.032520325,0.008053069,0.017713735,0.077697712,0.049258119,evm.utg1663.12/evm.utg3722.21/evm.utg3753.61/evm.utg12476.1,4,molecular_functions
GO:0042908,amino acid import across plasma membrane ,xenobiotic transport,0.010989011,0.000277181,0.02494987,0.077873837,0.042975853,evm.utg4157.34,1,biological_processes
GO:0043490,aspartate transmembrane transport ,malate-aspartate shuttle,0.021978022,0.000277181,0.000271922,0.009335993,0.005152209,evm.utg27.73/evm.utg992.42,2,biological_processes
GO:0046416,D-amino acid metabolic process ,D-amino acid metabolic process,0.010989011,0.000485067,0.043257309,0.099011174,0.054640812,evm.utg1972.20,1,biological_processes
GO:0046548,positive regulation of gene expression ,retinal rod cell development,0.010989011,0.000138591,0.012552867,0.061568825,0.033977686,evm.utg78.53,1,biological_processes
GO:0046983,protein dimerization activity ,protein dimerization activity,0.040650407,0.010022885,0.008112113,0.077697712,0.049258119,evm.utg27.73/utg418.evm.utg6875.9.mrna3/evm.utg992.42/utg10114.evm.utg6875.9.mrna2/utg13368.evm.utg6875.9.mrna5,5,molecular_functions
GO:0048536,blood vessel development ,spleen development,0.010989011,0.000242533,0.021865127,0.075070268,0.041428661,evm.utg5885.87,1,biological_processes
GO:0048538,abducens nerve formation ,thymus development,0.021978022,0.000277181,0.000271922,0.009335993,0.005152209,evm.utg78.53/evm.utg1005.68,2,biological_processes
GO:0048869,cellular developmental process ,cellular developmental process,0.010989011,3.46E-05,0.003152935,0.032475227,0.017921944,evm.utg150.65,1,biological_processes
GO:0050882,autophagy ,voluntary musculoskeletal movement,0.010989011,0.000519715,0.04627532,0.099299125,0.054799721,evm.utg2108.27,1,biological_processes
GO:0050982,detection of mechanical stimulus ,detection of mechanical stimulus,0.021978022,0.001074077,0.004307882,0.040337443,0.022260827,evm.utg55.197/evm.utg498.104,2,biological_processes
GO:0060395,positive regulation of pathway-restricted SMAD protein phosphorylation ,SMAD protein signal transduction,0.021978022,0.001455201,0.00779939,0.05020857,0.027708358,evm.utg1663.12/evm.utg3722.21,2,biological_processes
GO:0070413,cellular response to desiccation ,obsolete trehalose metabolism in response to stress,0.010989011,0.000242533,0.021865127,0.075070268,0.041428661,evm.utg280.44,1,biological_processes
GO:0072572,histone binding ,poly-ADP-D-ribose binding,0.008130081,0.000115871,0.014176816,0.077697712,0.049258119,evm.utg2108.27,1,molecular_functions
GO:0097352,autophagosome maturation ,autophagosome maturation,0.010989011,0.000138591,0.012552867,0.061568825,0.033977686,evm.utg3409.15,1,biological_processes
GO:1901031,negative regulation of TORC1 signaling ,regulation of response to reactive oxygen species,0.010989011,0.000311829,0.028024992,0.08489924,0.046852927,evm.utg1555.33,1,biological_processes
GO:1903302,positive regulation of I-kappaB kinase/NF-kappaB signaling ,regulation of pyruvate kinase activity,0.010989011,3.46E-05,0.003152935,0.032475227,0.017921944,evm.utg788.82,1,biological_processes
GO:1990837,"DNA-binding transcription factor activity, RNA polymerase II-specific ",sequence-specific double-stranded DNA binding,0.032520325,0.003244402,0.000708325,0.031166313,0.019758547,evm.utg78.53/evm.utg1005.68/evm.utg5885.87/evm.utg97204.12,4,molecular_functions
GO:1990961,xenobiotic detoxification by transmembrane export across the plasma membrane ,xenobiotic detoxification by transmembrane export across the plasma membrane,0.010989011,0.000450419,0.040229853,0.096364532,0.053180222,evm.utg4157.34,1,biological_processes
GO:2000781,positive regulation of double-strand break repair ,positive regulation of double-strand break repair,0.021978022,6.93E-05,9.83E-06,0.001012706,0.000558877,evm.utg1463.13/evm.utg7289.25,2,biological_processes
