"","gene","X","baseMean","log2FoldChange_raw","lfcSE","stat","pvalue","padj_raw","log2FoldChange_shrunk","padj_shrunk","diffexpressed","Label"
"39194","evm.TU.utg983.5.6","evm.TU.utg983.5.6",125.774195824366,0.776420145786359,0.433144041738656,1.79252181946167,0.0730494172216772,0.738553244777761,0.0267086128784856,0.738553244777761,"Non-Sig","NO"
"39195","evm.TU.utg983.7","evm.TU.utg983.7",42.0689366691165,-0.029974443782583,0.356754641550418,-0.0840197723912358,0.93304071125715,0.998244541611383,-0.000367099882208069,0.998244541611383,"Non-Sig","NO"
"39196","evm.TU.utg983.8","evm.TU.utg983.8",290.374344943759,0.232527274396549,0.166016441072665,1.40062799138534,0.161325346006433,0.882284313237343,0.00534066104164115,0.882284313237343,"Non-Sig","NO"
"39197","evm.TU.utg983.9","evm.TU.utg983.9",153.354106050421,0.180828804147903,0.26559842926937,0.680835367307486,0.495975668443322,0.987830285821144,0.00253368468710751,0.987830285821144,"Non-Sig","NO"
"39198","evm.TU.utg98647.2","evm.TU.utg98647.2",7.42702180389079,-2.39379453039643,1.14134768209855,-2.09734033541389,0.0359634586688622,NA,-0.0290432270651263,NA,"Non-Sig","NO"
"39199","evm.TU.utg98647.3","evm.TU.utg98647.3",64.1247506525127,0.391275739729403,0.63588113745579,0.615328426464933,0.538337848255677,0.991191174390686,0.00471852404073186,0.991191174390686,"Non-Sig","NO"
"39200","evm.TU.utg98647.4","evm.TU.utg98647.4",7.62916067800287,-0.513114233759476,0.717810137672522,-0.714832804428248,0.474712362160026,NA,-0.00589028159154534,NA,"Non-Sig","NO"
"39201","evm.TU.utg9867.1","evm.TU.utg9867.1",88.0840963424962,-0.0103299426997963,0.280689038902085,-0.0368020879625433,0.970642809224515,0.998683342004946,-0.000123853214189301,0.998683342004946,"Non-Sig","NO"
"39202","evm.TU.utg9867.10","evm.TU.utg9867.10",28.0576744715505,-0.24102679659228,0.363219886904736,-0.663583700348146,0.506956792407042,0.989162055794293,-0.00342113769171669,0.989162055794293,"Non-Sig","NO"
"39203","evm.TU.utg9867.13","evm.TU.utg9867.13",4.26004095005645,-0.491594285136112,0.915149579925636,-0.537173699162992,0.591147636777597,NA,-0.00435861670562958,NA,"Non-Sig","NO"
