"geneID","proteinID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"utg234.equina_smart_1444942.mrna4","A0A0S1M168",16025.16656023,0.492006549116668,0.312795208333267,0.000302227576227658,0.0565600278443033
"evm.utg78.53","A0A6P8I1K4",1591.13709008307,0.691119706976986,0.524572431806394,0.000305104439826784,0.056709990540049
"evm.utg5885.45","A0A6P8HSX7",2082.09601302544,0.658238978222186,0.473600442845459,0.000314903842815826,0.0577457563574284
"evm.utg1581.4","Q9GPI6",208.187582643144,-0.656307927578067,0.678443400660672,0.000312822948536776,0.0577457563574284
"evm.utg2674.34","A0A6P8JFJ6",139.885985726816,-0.210208335424314,0.689055633252608,0.000317954995255147,0.0579165622357092
"evm.utg293.50","A0A6P8I943",18781.5853248239,0.547933656434478,0.363053390370733,0.000324719384822566,0.0587570049768673
"evm.utg47.21","A0A6P8HIA3",118.110628609749,0.667448902576347,0.648163799517959,0.000329296966774907,0.0591932962052025
"evm.utg27.127","A0A6P8JAN4",510.610865302082,0.61686543896872,0.43331359033677,0.000332530753949217,0.0593839071251926
"evm.utg234.132","A7RTS7",33.9832421803918,0.662092865349155,0.649377530470312,0.000335105980168222,0.0594551993255605
"evm.utg1555.33","A0A6P8IKG2",804.601261764142,0.495912198520849,0.330142511636491,0.000341203049096731,0.0601463929707741
"evm.utg1721.53","A0A6P8HDK5",451.383128556127,-0.496978364159274,0.332026817714678,0.000344200502998164,0.0602858355347362
"evm.utg3878.26","A0A6P8IB65",1022.62564098761,-0.522555661557134,0.353686643475323,0.000349996806679514,0.0609105907573526
"evm.utg1925.10","A0A7D9JL00",46.7925335978143,-0.669947615340795,0.576695644042615,0.00035353031993305,0.0610783779221185
"evm.utg54.45","A0A6P8HUM7",23.5542540981569,-0.64409421371507,0.652513384086739,0.00035543176406752,0.0610783779221185
"evm.utg4709.1","A0A6P8IVM9",51.8089889282247,0.64789256233713,0.641055515671245,0.00036104833634904,0.0616557730879052
"utg418.evm.utg6875.9.mrna3","A0A6P8ISZ2",40.2485815138913,0.61612754046499,0.662081982228545,0.000380164107373008,0.0638787779473993
"evm.utg348.3","A0A6P8IZV8",122.130549708578,0.606730143262602,0.454448708132546,0.000381079705941005,0.0638787779473993
"evm.utg262.38","A0A6P8HGR9",491.407764199262,0.490180948644897,0.33938377641107,0.000378615544157529,0.0638787779473993
"evm.utg44408.3","A0A6P8ISG8",3341.40937890847,0.647841058579408,0.586634266165096,0.00038924805614611,0.0643338579146706
"evm.utg8851.71","A0A913X302",150.805796347233,-0.525882418588562,0.37222819440225,0.000388628647003004,0.0643338579146706
"evm.utg512.20","A0A6P8H3W9",2777.68879069342,0.237299341319166,0.650806750649505,0.000390858266436165,0.0643338579146706
"evm.utg203.94","A0A6P8IAL6",161.044251946995,0.635469230546091,0.536630440829279,0.00040390901247816,0.0659690812750106
"evm.utg56.43","A0A6P8HBM0",1146.72285530082,0.618465950463695,0.493934455980327,0.000405621844387578,0.0659690812750106
"evm.utg7127.23","NA",238.330513447698,0.599436035104994,0.470709806012019,0.000417804766833938,0.0674949110817691
"evm.utg5815.2","A0A6P8I1H4",545.054491795373,-0.471718036233325,0.338937386898555,0.000419944181967601,0.0674949110817691
"evm.utg2108.27","A0A6P8HKR7",807.900286379605,0.625584649059661,0.553561134118386,0.000429135604971845,0.0685688428926651
"evm.utg4695.64","A0A6P8IQX8",307.476638397532,-0.320002078837406,0.658107954805138,0.000450244632737067,0.0715234540713656
"evm.utg1972.20","A0A6P8J0A5",398.259333392622,0.494132835596553,0.368927598906626,0.000454370032412464,0.0717615745410737
"evm.utg729.116","A0A6P8HN50",473.34533183292,0.601356274568047,0.550608836761756,0.000479007590639855,0.0752179563163951
"evm.utg262.58","A0A6P8HCT9",94.1630492052737,-0.591310422088876,0.59533869354374,0.000492284020213518,0.0768610073388226
"evm.utg470.31","A0A6P8IUY0",92.4499971093157,0.584404640784799,0.603048810031598,0.00050069284540937,0.0777297194040922
"evm.utg47.12","A0A6P8HB42",567.447481240788,-0.414142313030044,0.667046756792787,0.000517065403581388,0.0798179549268603
"evm.utg1138.19","A0A6P8I010",687.85943760549,0.580224450326235,0.564245609521177,0.000528407807166301,0.0811105984000272
"evm.utg512.60","A0A6P8H9W4",156.609611699875,0.572453596793155,0.53329755012313,0.000541798913662781,0.0821838215032374
"evm.utg2108.34","A0A6P8HDV3",772.936199099465,0.564672366623484,0.505047131077621,0.000541355871443388,0.0821838215032374
"evm.utg3799.20","NA",16789.5587090351,-0.467995140505094,0.373762208289814,0.0005444230755073,0.0821838215032374
"evm.utg73.95","A0A6P8HZ05",371.392198226949,-0.545700608884195,0.620245676052598,0.000557244210979784,0.0828605812698456
"evm.utg2216.44","A0A913XEX9",162.368777456295,0.540951384136225,0.623286659237707,0.000561036765176643,0.0828605812698456
