"ID","Description","ontology","semantic_cluster_id","semantic_cluster_GO","semantic_cluster_Description","cluster_size","mean_similarity_to_cluster","n_hits","best_p_adjust","sources"
"GO:0102148","N-acetyl-beta-D-galactosaminidase activity","MF","MF_17","GO:0102148","N-acetyl-beta-D-galactosaminidase activity",2,0.774999587499244,1,0.00581030520768433,"Primed Experiment_ORA"
"GO:0004674","protein serine/threonine kinase activity","MF","MF_18","GO:0004674","protein serine/threonine kinase activity",2,0.863321911866759,4,0.0182892167597609,"Acute Experiment_ORA;Primed_GSEA"
"GO:0004675","transmembrane receptor protein serine/threonine kinase activity","MF","MF_18","GO:0004674","protein serine/threonine kinase activity",2,0.863321911866759,1,0.0539871072072001,"Primed Experiment_ORA"
"GO:0004867","serine-type endopeptidase inhibitor activity","MF","MF_19","GO:0004867","serine-type endopeptidase inhibitor activity",1,1,2,0.124876700627105,"Acute Experiment_ORA"
"GO:0000215","tRNA 2-phosphotransferase activity","MF","MF_2","GO:0000215","tRNA 2-phosphotransferase activity",1,1,1,0.0206243115517126,"Primed Experiment_ORA"
"GO:0004930","G protein-coupled receptor activity","MF","MF_20","GO:0004930","G protein-coupled receptor activity",1,1,1,0.0701486354685823,"Primed_GSEA"
"GO:0005044","scavenger receptor activity","MF","MF_21","GO:0005044","scavenger receptor activity",1,1,6,0.00267335549015955,"Acute Experiment_ORA;Acute_GSEA"
"GO:0005085","guanyl-nucleotide exchange factor activity","MF","MF_22","GO:0005085","guanyl-nucleotide exchange factor activity",1,1,1,0.269250600878988,"Primed Experiment_ORA"
"GO:0005245","voltage-gated calcium channel activity","MF","MF_23","GO:0005245","voltage-gated calcium channel activity",3,0.829383142449268,1,0.0432624506647139,"Acute Experiment_ORA"
"GO:0005262","calcium channel activity","MF","MF_23","GO:0005245","voltage-gated calcium channel activity",3,0.787723823263991,1,0.0709404065024782,"Primed Experiment_ORA"
"GO:0005249","voltage-gated potassium channel activity","MF","MF_23","GO:0005245","voltage-gated calcium channel activity",3,0.756663416652456,1,0.10642671552261,"Primed Experiment_ORA"
"GO:0046872","metal ion binding","MF","MF_24","GO:0046872","metal ion binding",3,0.844500090415137,6,1.15063458858576e-05,"Acute_GSEA;Primed_GSEA"
"GO:0005509","calcium ion binding","MF","MF_24","GO:0046872","metal ion binding",3,0.791666231249055,3,0.0101246292770964,"Acute_GSEA;Primed_GSEA"
"GO:0008270","zinc ion binding","MF","MF_24","GO:0046872","metal ion binding",3,0.752833309165074,3,0.00101808865759512,"Acute_GSEA;Primed_GSEA"
"GO:0008017","microtubule binding","MF","MF_25","GO:0008017","microtubule binding",1,1,2,0.219890747456361,"Acute Experiment_ORA"
"GO:0008201","heparin binding","MF","MF_26","GO:0008201","heparin binding",1,1,1,0.0897940453462693,"Primed Experiment_ORA"
"GO:0008483","transaminase activity","MF","MF_27","GO:0008483","transaminase activity",2,0.828736072212931,4,0.0432624506647139,"Acute Experiment_ORA;Primed Experiment_ORA"
"GO:0016740","transferase activity","MF","MF_27","GO:0008483","transaminase activity",2,0.828736072212931,1,0.0701486354685823,"Primed_GSEA"
"GO:0015267","channel activity","MF","MF_28","GO:0015267","channel activity",1,1,1,0.0671834389227622,"Primed Experiment_ORA"
"GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF","MF_29","GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",2,0.858477214831588,1,0.0795620961135908,"Primed Experiment_ORA"
"GO:0051213","dioxygenase activity","MF","MF_29","GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",2,0.858477214831588,1,0.10642671552261,"Primed Experiment_ORA"
"GO:0003899","DNA-directed 5-3 RNA polymerase activity","MF","MF_3","GO:0003899","DNA-directed 5-3 RNA polymerase activity",3,0.908386878912281,1,0.0795620961135908,"Primed Experiment_ORA"
"GO:0001054","RNA polymerase I activity","MF","MF_3","GO:0003899","DNA-directed 5-3 RNA polymerase activity",3,0.861204040433608,1,0.0206243115517126,"Primed Experiment_ORA"
"GO:0001056","RNA polymerase III activity","MF","MF_3","GO:0003899","DNA-directed 5-3 RNA polymerase activity",3,0.861204040433608,1,0.0206243115517126,"Primed Experiment_ORA"
"GO:0016874","ligase activity","MF","MF_30","GO:0016874","ligase activity",1,1,1,0.186530008664906,"Primed Experiment_ORA"
"GO:0030247","polysaccharide binding","MF","MF_31","GO:0030247","polysaccharide binding",1,1,1,0.00581030520768433,"Primed Experiment_ORA"
"GO:0031267","small GTPase binding","MF","MF_32","GO:0031267","small GTPase binding",1,1,1,0.148790272199579,"Primed Experiment_ORA"
"GO:0031369","translation initiation factor binding","MF","MF_33","GO:0046983","protein dimerization activity",3,0.698787635111889,1,0.0665860842812354,"Primed Experiment_ORA"
"GO:0046983","protein dimerization activity","MF","MF_33","GO:0046983","protein dimerization activity",3,0.698787635111889,4,0.0588426995088619,"Primed Experiment_ORA"
"GO:0043130","ubiquitin binding","MF","MF_33","GO:0046983","protein dimerization activity",3,0.660767795556058,2,0.130007446282064,"Acute Experiment_ORA;Primed Experiment_ORA"
"GO:0043539","protein serine/threonine kinase activator activity","MF","MF_34","GO:0043539","protein serine/threonine kinase activator activity",1,1,1,0.0299080921732197,"Acute Experiment_ORA"
"GO:0045296","cadherin binding","MF","MF_35","GO:0098632","cell-cell adhesion mediator activity",2,0.763749350310713,1,0.0665860842812354,"Primed Experiment_ORA"
"GO:0098632","cell-cell adhesion mediator activity","MF","MF_35","GO:0098632","cell-cell adhesion mediator activity",2,0.763749350310713,1,0.00985082179259389,"Primed Experiment_ORA"
"GO:0061630","ubiquitin protein ligase activity","MF","MF_36","GO:0061630","ubiquitin protein ligase activity",1,1,3,0.0665860842812354,"Primed Experiment_ORA"
"GO:0090729","toxin activity","MF","MF_37","GO:0090729","toxin activity",1,1,2,0.292510470329506,"Primed Experiment_ORA"
"GO:0106245","L-serine-phosphatidylethanolamine phosphatidyltransferase activity","MF","MF_38","GO:0106245","L-serine-phosphatidylethanolamine phosphatidyltransferase activity",1,1,1,0.00234763811480299,"Primed Experiment_ORA"
"GO:0140297","DNA-binding transcription factor binding","MF","MF_39","GO:0140297","DNA-binding transcription factor binding",1,1,1,0.0492266008944644,"Primed Experiment_ORA"
"GO:0003676","nucleic acid binding","MF","MF_4","GO:0003676","nucleic acid binding",7,0.755500533475712,2,0.0701486354685823,"Acute_GSEA;Primed_GSEA"
"GO:0003723","RNA binding","MF","MF_4","GO:0003676","nucleic acid binding",7,0.742036467038077,1,0.0123794800197055,"Acute_GSEA"
"GO:0003677","DNA binding","MF","MF_4","GO:0003676","nucleic acid binding",7,0.690061607206899,6,2.77291034079658e-06,"Acute_GSEA;Primed_GSEA"
"GO:0043565","sequence-specific DNA binding","MF","MF_4","GO:0003676","nucleic acid binding",7,0.618584823654081,1,0.169986989051085,"Acute Experiment_ORA"
"GO:0003743","translation initiation factor activity","MF","MF_4","GO:0003676","nucleic acid binding",7,0.614595296269974,1,0.139451442376256,"Primed Experiment_ORA"
"GO:0003746","translation elongation factor activity","MF","MF_4","GO:0003676","nucleic acid binding",7,0.614595296269974,1,0.0994292135261157,"Primed Experiment_ORA"
"GO:0035368","selenocysteine insertion sequence binding","MF","MF_4","GO:0003676","nucleic acid binding",7,0.601111659998764,6,6.17425518185162e-07,"Acute Experiment_ORA;Primed Experiment_ORA"
"GO:0003712","transcription coregulator activity","MF","MF_5","GO:0003712","transcription coregulator activity",1,1,1,0.106797603101691,"Primed Experiment_ORA"
"GO:0004386","helicase activity","MF","MF_6","GO:0004386","helicase activity",3,0.875447718919827,1,0.175300938852962,"Acute Experiment_ORA"
"GO:0016887","ATP hydrolysis activity","MF","MF_6","GO:0004386","helicase activity",3,0.845061017126007,1,0.0651291297822781,"Acute_GSEA"
"GO:0003724","RNA helicase activity","MF","MF_6","GO:0004386","helicase activity",3,0.825661296525166,1,0.124876700627105,"Acute Experiment_ORA"
"GO:0003755","peptidyl-prolyl cis-trans isomerase activity","MF","MF_7","GO:0003755","peptidyl-prolyl cis-trans isomerase activity",1,1,2,0.0206243115517126,"Primed Experiment_ORA"
"GO:0003857","3-hydroxyacyl-CoA dehydrogenase activity","MF","MF_8","GO:0003857","3-hydroxyacyl-CoA dehydrogenase activity",1,1,1,0.0080128946247721,"Acute Experiment_ORA"
"GO:0003884","D-amino-acid oxidase activity","MF","MF_9","GO:0003884","D-amino-acid oxidase activity",1,1,2,0.0299080921732197,"Acute Experiment_ORA;Primed Experiment_ORA"
