"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.TU.utg125.176",1.2804885095862,-0.439695266744646,2.30404156304974,-0.190836516925782,0.848653678043427,NA
"evm.TU.utg15013.24",112.157961875627,-0.0504024655996512,0.264161175867389,-0.19080194292046,0.848680766421066,0.99999995182314
"evm.TU.utg95.8",287.880575885999,-0.0379959049780356,0.199157324149868,-0.190783367572479,0.848695320088992,0.99999995182314
"evm.TU.utg1052.6",132.238268088116,0.036119897331734,0.189378441895652,0.190728664626126,0.848738179801839,0.99999995182314
"evm.TU.utg6445.3",340.504223525765,-0.0345897386298379,0.181386382676867,-0.190696446554415,0.848763422843406,0.99999995182314
"evm.TU.utg418.22",208.589587691198,0.0396104771473539,0.207742698760849,0.190670850930617,0.848783477270095,0.99999995182314
"evm.TU.utg3722.37",1.30786148083315,-0.582364343091842,3.05504670689563,-0.19062371183307,0.848820411479567,NA
"evm.TU.utg13510.9",10.4958827795896,0.0925229816405035,0.48539244762104,0.190614794469853,0.848827398408422,NA
"evm.TU.utg78.113",40.4664664979322,0.0500517617104983,0.262620800647014,0.190585671763953,0.848850216702003,0.99999995182314
"evm.TU.utg411.86",2.75729083706944,-0.234679194068461,1.23141882766197,-0.190576259511992,0.848857591439705,NA
"evm.TU.utg2255.22",422.645503947676,-0.0391301635059894,0.205333448367106,-0.190568871351297,0.848863380259923,0.99999995182314
"evm.TU.utg1931.56.57",217.915619507994,-0.0646658703537174,0.339352469481022,-0.190556651768623,0.848872954645528,0.99999995182314
"evm.TU.utg9251.27",36.7192512743258,0.0906403545661547,0.475664054828511,0.190555400699414,0.848873934894586,0.99999995182314
"evm.TU.utg77.128",0.177821852765022,-0.585272683566314,3.07169279028363,-0.190537506034994,0.848887955909413,NA
"evm.TU.utg597.161",0.177821852765022,-0.585272683566314,3.07169279028363,-0.190537506034994,0.848887955909413,NA
"tRNAscan-SE.tRNA.utg736.Ala(GGC).5",0.177821852765022,-0.585272683566314,3.07169279028363,-0.190537506034994,0.848887955909413,NA
"evm.TU.utg1786.36",0.177821852765022,-0.585272683566314,3.07169279028363,-0.190537506034994,0.848887955909413,NA
"evm.TU.utg684.12",0.578913460523086,-0.577086980375847,3.02879819394868,-0.190533321608823,0.848891234541714,NA
"evm.TU.utg7168.28",257.234997445819,-0.0373414058420279,0.196004125694639,-0.190513366541086,0.848906870014166,0.99999995182314
"evm.TU.utg1565.27",1588.63861327226,0.0292119631395364,0.153352495251737,0.190488997858061,0.848925963784521,0.99999995182314
"evm.TU.utg676.14",195.066766142874,0.0362582511739903,0.190371357120365,0.190460643462586,0.848948180620526,0.99999995182314
"evm.TU.utg1249.25",1.50633982948492,-0.353384514938209,1.85545752270028,-0.190456806806292,0.848951186807877,NA
"evm.TU.utg73.142",359.697898067764,0.0439811138260882,0.23092968684987,0.190452403179678,0.84895463724388,0.99999995182314
"evm.TU.utg262.74",40.6939721596254,0.0993449603988142,0.521725729536488,0.190416064944841,0.848983109966753,0.99999995182314
"evm.TU.utg590.7",335.781693716362,0.0876888495789568,0.460517399952866,0.190413759801327,0.848984916162189,0.99999995182314
"utg5290.equina_smart_979967.path1",15.8975549102272,0.0932739828122744,0.489936605491874,0.190379697631761,0.849011605671053,0.99999995182314
"evm.TU.utg3403.1",388.812582423053,0.0411412824662193,0.216142105176615,0.190343674281333,0.849039832057011,0.99999995182314
"evm.TU.utg13607.4",0.365661668323231,-0.58269221225432,3.06127780264678,-0.190342807748622,0.84904051103807,NA
"evm.TU.utg684.6",69.6152990333331,-0.0461669795207194,0.242552508763327,-0.190338082900504,0.849044213245783,0.99999995182314
"evm.TU.utg1395.56",1.69665110995072,-0.581572923299982,3.05553541942281,-0.190334211020156,0.84904724710352,NA
"evm.TU.utg101.102",2577.85196162001,0.0272435460917368,0.143148871509842,0.190316177867066,0.849061377223808,0.99999995182314
"evm.TU.utg4464.13",30.6182262799566,0.0604226648193064,0.317489560128348,0.190313863532646,0.849063190655264,0.99999995182314
"evm.TU.utg3443.30",337.402103298011,-0.0394606283107278,0.207350380675206,-0.19030892628328,0.849067059313746,0.99999995182314
"tRNAscan-SE.tRNA.utg2111.Pseudo(ATT).3",2.7753946123991,-0.266222625814253,1.39916813263154,-0.190272076389808,0.849095933735351,NA
"evm.TU.utg109.42",1088.84853225329,0.0346096684445776,0.181930804841375,0.190235339610318,0.849124719725906,0.99999995182314
"evm.TU.utg356.152",144.580001120118,-0.0386172656193755,0.203024544007683,-0.190209837968724,0.849144702271197,0.99999995182314
"tRNAscan-SE.tRNA.utg203.Ser(AGA).8",1.56772805165679,0.347152495367539,1.82521724042821,0.190197905037372,0.849154052696316,NA
"tRNAscan-SE.tRNA.utg14366.Pseudo(TCT).2",8.46437813818441,0.106108045711718,0.557893946998658,0.190193936110178,0.849157162679233,NA
"evm.TU.utg7244.26",0.509281194067831,-0.580139681510384,3.05025781821166,-0.1901936544664,0.84915738337053,NA
"evm.TU.utg861.20",618.580891509919,0.0351940143403499,0.185097682046865,0.190137520638639,0.849201369123841,0.99999995182314
"evm.TU.utg376.34",279.923748401977,0.0497217004379268,0.261556485508118,0.190099283301402,0.849231331683675,0.99999995182314
"tRNAscan-SE.tRNA.utg2798.Ser(AGA).1",2.23667523194345,-0.29696402605485,1.56222700962659,-0.190090188061613,0.849238458693875,NA
"evm.TU.utg2205.24",4453.26242693557,-0.0312429170937702,0.164390228458939,-0.190053371095435,0.849267308514717,0.99999995182314
"evm.TU.utg9285.24",1.32886653492772,0.369458954469756,1.94458923948178,0.189993314252945,0.849314369564973,NA
"evm.TU.utg3913.36",408.715653242831,-0.0513910308271162,0.270492299151424,-0.189990735367838,0.849316390413203,0.99999995182314
"evm.TU.utg192.15",0.350234490537158,0.580190195515758,3.05389665843645,0.189983571943396,0.849322003771844,NA
"tRNAscan-SE.tRNA.utg13.Ala(GGC).2",0.775238903088318,0.420268102468865,2.21218497964039,0.189978734299689,0.8493257946208,NA
"evm.TU.utg62.92",2036.30017681425,0.0287282030892217,0.151239180534083,0.189952120791527,0.849346649420601,0.99999995182314
"tRNAscan-SE.tRNA.utg2156.Trp(CCA).1",0.142696684046067,-0.583418080795874,3.07156827961951,-0.189941433067587,0.849355024533396,NA
"evm.TU.utg1265.1",536.171421399832,0.0390084719901464,0.205406343284277,0.189908799146284,0.849380597227627,0.99999995182314
"tRNAscan-SE.tRNA.utg2581.Ala(GGC).1",0.437080807868949,-0.579409808010686,3.05145672218165,-0.189879739666252,0.849403369040545,NA
"evm.TU.utg1708.31",4.77494169459772,0.224369634953866,1.18201199524859,0.189820099843131,0.849450104850314,NA
"evm.TU.utg8494.42",1067.26893255128,-0.0373176300442764,0.196598115890868,-0.189816824414489,0.849452671603804,0.99999995182314
"evm.TU.utg4177.63",3517.08852285988,0.0274681499028996,0.14471992801823,0.189802125243177,0.84946419046675,0.99999995182314
"evm.TU.utg2969.7",3.18198916302635,0.54246440371928,2.85807107336878,0.189800879612095,0.849465166594936,NA
"evm.TU.utg542.78",0.28064209777613,0.579774571658379,3.05472838541794,0.18979578493001,0.849469159001553,NA
"evm.TU.utg912.46",0.28064209777613,0.579774571658379,3.05472838541794,0.18979578493001,0.849469159001553,NA
"tRNAscan-SE.tRNA.utg9194.Pseudo(GTT).1",5.61837454839759,-0.142991152449087,0.753400549764589,-0.189794329847206,0.849470299266191,NA
"evm.TU.utg577.51",204.924099415979,-0.0471976533089758,0.248689638040137,-0.189785363318428,0.849477325825627,0.99999995182314
"evm.TU.utg334.67",0.985011001989115,-0.402470100384994,2.12082935145074,-0.189770148225121,0.849489249057617,NA
"tRNAscan-SE.tRNA.utg7412.Ala(GGC).1",0.65306686714746,-0.579355070688363,3.05294448988208,-0.189769277695167,0.849489931245115,NA
"evm.TU.utg18927.42",0.460781495733627,0.578920741229388,3.05089022171832,0.189754694255544,0.849501359519046,NA
"tRNAscan-SE.tRNA.utg4907.Ser(AGA).7",0.912217672283496,0.559967025899328,2.95134191889036,0.189733023583341,0.849518341742476,NA
"evm.TU.utg5815.6",531.700069859724,0.0388457144172357,0.204764002952239,0.189709684598695,0.849536631417136,0.99999995182314
"evm.TU.utg4972.6",8.73579315631438,0.114044891601653,0.601189850394674,0.189698631017779,0.849545293621658,NA
"evm.TU.utg992.31",219.209051189556,-0.0531280825185583,0.280089888196274,-0.189682258294625,0.849558124237053,0.99999995182314
"evm.TU.utg14923.3",0.561826547083839,-0.578323134875983,3.04936755448952,-0.189653468970813,0.849580685317452,NA
"evm.TU.utg1781.15",13.2360302264155,-0.578956450690402,3.05372018545411,-0.189590537288965,0.849630002873201,0.99999995182314
"evm.TU.utg4695.66",0.5740154053409,0.537853796357334,2.83729542455262,0.189565665846073,0.849649493993499,NA
"evm.TU.utg432.115",0.288542602559238,-0.579592564319043,3.05803973724782,-0.189530749800088,0.849676856970071,NA
"evm.TU.utg203.63",9.2576069823389,-0.573199915860665,3.02464893135121,-0.189509569166627,0.849693455878735,NA
"evm.TU.utg11123.1",4894.94499683933,0.0771312572932861,0.407020115455424,0.189502322770908,0.84969913477332,0.99999995182314
"evm.TU.utg72.24",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"evm.TU.utg338.63",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"evm.TU.utg464.162",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"evm.TU.utg494.32",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"tRNAscan-SE.tRNA.utg648.Ser(AGA).3",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"evm.TU.utg911.31",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"evm.TU.utg975.22",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"evm.TU.utg1498.7",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"evm.TU.utg1571.6",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"evm.TU.utg1796.21",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"evm.TU.utg2600.33",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"evm.TU.utg2601.64",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"tRNAscan-SE.tRNA.utg3790.Pseudo(AGA).2",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"tRNAscan-SE.tRNA.utg4593.Cys(ACA).1",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"evm.TU.utg6534.10",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"evm.TU.utg17809.6",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"tRNAscan-SE.tRNA.utg23803.Ala(TGC).1",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"evm.TU.utg26120.28",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"tRNAscan-SE.tRNA.utg26219.Cys(ACA).1",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"evm.TU.utg41358.5",0.146945134142883,0.581041260386442,3.06678303694512,0.189462786700825,0.84973011875187,NA
"evm.TU.utg73.99",46.2796632977875,-0.0558939701336418,0.295045962921911,-0.189441568968137,0.849746746948775,0.99999995182314
"evm.TU.utg6401.20",1.15095915012309,-0.578738530063022,3.05524309316046,-0.189424707761749,0.849759961012467,NA
"evm.TU.utg7616.18",1.15095915012309,-0.578738530063022,3.05524309316046,-0.189424707761749,0.849759961012467,NA
"evm.TU.utg435.34",775.949706798811,0.029166290753401,0.153986333374583,0.189408307310311,0.849772814024738,0.99999995182314
