"gene_id","paired_baseMean","paired_log2FoldChange","paired_lfcSE","paired_pvalue","paired_padj","paired_significant","unpaired_baseMean","unpaired_log2FoldChange","unpaired_lfcSE","unpaired_pvalue","unpaired_padj","unpaired_significant","DEG_category","same_LFC_direction"
"evm.TU.utg78.54",3388.07278422174,0.834422051487675,0.454885535255805,0.000123271008630166,0.0366101496608916,TRUE,3388.07278422174,0.0420815185841782,0.238412563094705,0.00863859276810885,0.419045729143666,FALSE,"Paired design only",NA
"evm.TU.utg78.74",410.329554721771,0.948713998339874,0.569549400311217,9.64858121754187e-05,0.0318411047890185,TRUE,410.329554721771,0.180906033881735,0.525524316058949,NA,NA,FALSE,"Paired design only",NA
"evm.TU.utg92.24",78.7198089466225,0.490549609879569,0.491928594553533,0.000768608253826306,0.0995293048307874,TRUE,78.7198089466225,0.535817371216953,0.530605514485702,0.000216745378578306,0.130880863218438,FALSE,"Paired design only",NA
"evm.TU.utg92.78",103.030163901876,-0.554140723716146,0.54964726757572,0.000595087806714143,0.085381034291737,TRUE,103.030163901876,-0.0130666304912872,0.107462290710957,0.0476050989549487,0.67333338161504,FALSE,"Paired design only",NA
"evm.TU.utg104.63",186.618096832672,-0.836558722562086,0.461817977553598,0.000125518226841637,0.0368767151827318,TRUE,186.618096832672,-0.233398148745318,0.452248564128673,0.00104150602782579,0.209636469703396,FALSE,"Paired design only",NA
"evm.TU.utg112.47",698.125618053887,0.475267902820426,0.385597828094746,0.000559875448522975,0.0828605812698456,TRUE,698.125618053887,0.030392106311358,0.149070569957645,0.012562229444344,0.460098584634035,FALSE,"Paired design only",NA
"evm.TU.utg112.49",64.1372114196074,0.479221300968477,0.450978304848548,0.000735615234762684,0.0993293126629099,TRUE,64.1372114196074,0.109619870086655,0.31128903119086,0.00294901133843661,0.318412721642344,FALSE,"Paired design only",NA
"evm.TU.utg116.21",177.188733809432,0.708643401153906,0.505988853124069,0.000269929606089144,0.054621886384513,TRUE,177.188733809432,0.228737326378257,0.499797267030384,0.00100709051813674,0.207457091786334,FALSE,"Paired design only",NA
"evm.TU.utg116.310",52.4959802281681,-0.568425420456434,0.77871181460649,0.000209357563062394,0.048891253808152,TRUE,52.4959802281681,-0.117444132009541,0.473212987170689,0.00113920222301204,0.212402674199821,FALSE,"Paired design only",NA
"evm.TU.utg162.13",81.0957622194288,-0.613574360152975,0.715065891673579,0.000298343913473045,0.0562182810194759,TRUE,81.0957622194288,-0.0110137608640755,0.118503652734958,0.0607528647901563,0.708999735441596,FALSE,"Paired design only",NA
"evm.TU.utg162.16",327.580490272369,-0.368678717277005,0.327260111616771,0.000739689632283618,0.0993293126629099,TRUE,327.580490272369,-0.0458987557172337,0.165346269117679,0.00553602367726851,0.371747910703116,FALSE,"Paired design only",NA
"evm.TU.utg170.23",440.506258012019,0.851036980510889,0.418718725761691,9.49733191223e-05,0.0318411047890185,TRUE,440.506258012019,0.0359686718173276,0.182165476431898,0.0128508403439921,0.460098584634035,FALSE,"Paired design only",NA
"evm.TU.utg170.24",567.168406241171,0.890387620131287,0.409412447107283,7.32470271205794e-05,0.0285904074573656,TRUE,567.168406241171,0.03047055636949,0.167020910292866,0.0158877763654977,0.490821541369948,FALSE,"Paired design only",NA
"evm.TU.utg181.10",6879.5737943621,1.00186191672135,0.502256886668803,6.32010377569358e-05,0.0265667993020424,TRUE,6879.5737943621,0.349032596945704,0.550597180986184,0.000550879020875876,0.164541488899146,FALSE,"Paired design only",NA
"evm.TU.utg203.93",923.108424241478,0.904047507175878,0.408171012333778,6.75978739581553e-05,0.0275668165695325,TRUE,923.108424241478,0.325318702454887,0.53399765726136,0.000619973273307119,0.170393226019107,FALSE,"Paired design only",NA
"evm.TU.utg203.94",161.044251946995,0.635469230546091,0.536630440829279,0.00040390901247816,0.0659690812750106,TRUE,161.044251946995,0.0658726648474923,0.268760815271883,0.00594428720803401,0.379112527227206,FALSE,"Paired design only",NA
"evm.TU.utg203.148",286.04975407414,1.50731109806142,0.338655201533536,1.29121318130069e-07,0.000459834481968694,TRUE,286.04975407414,0.0327784206320123,0.188800606929977,0.0150965718236595,0.486625393261259,FALSE,"Paired design only",NA
"evm.TU.utg234.38",846.115320983109,0.830443282258973,0.42817151255745,0.000110997925905998,0.0352650735991812,TRUE,846.115320983109,0.609093517614605,0.580637211909732,0.000175934234232264,0.127944581557399,FALSE,"Paired design only",NA
"utg234.equina_smart_1444942.path4",16025.16656023,0.492006549116668,0.312795208333267,0.000302227576227658,0.0565600278443033,TRUE,16025.16656023,0.0575362024366898,0.196416883326999,0.00501864469129444,0.368415651050561,FALSE,"Paired design only",NA
"evm.TU.utg234.132",33.9832421803918,0.662092865349155,0.649377530470312,0.000335105980168222,0.0594551993255605,TRUE,33.9832421803918,0.101734065781139,0.350683630573851,0.00304849188274331,0.318412721642344,FALSE,"Paired design only",NA
"evm.TU.utg245.77",1068.34708128367,0.506158157155927,0.869152102061644,0.000130960676259964,0.0380663676324574,TRUE,1068.34708128367,0.00415463966488819,0.0768125274794081,0.243320686460803,0.911909793169489,FALSE,"Paired design only",NA
