"set_name","value"
"Primed Expression","evm.utg4318.26"
"Primed Expression","evm.utg6293.3"
"Primed Expression","evm.utg2487.30"
"Primed Expression","evm.utg1555.24"
"Primed Expression","evm.utg817.12"
"Primed Expression","evm.utg12937.3"
"Primed Expression","evm.utg467.16"
"Primed Expression","evm.utg693.103"
"Primed Expression","evm.utg180.71"
"Primed Expression","evm.utg1056.147"
"Primed Expression","evm.utg1277.2"
"Primed Expression","evm.utg4177.53"
"Primed Expression","evm.utg6379.12"
"Primed Expression","evm.utg1302.28"
"Primed Expression","evm.utg52146.3"
"Primed Expression","evm.utg2100.45"
"Primed Expression","evm.utg7066.6"
"Primed Expression","evm.utg77.18"
"Primed Expression","evm.utg479.13"
"Primed Expression","evm.utg1972.26"
"Primed Expression","evm.utg150.20"
"Primed Expression","evm.utg13.23"
"Primed Expression","utg5996.evm.utg5996.3.mrna2"
"Primed Expression","evm.utg17511.19"
"Primed Expression","evm.utg1465.9"
"Primed Expression","evm.utg28209.19"
"Primed Expression","evm.utg572.39"
"Primed Expression","evm.utg3872.56"
"Primed Expression","evm.utg1056.69"
"Primed Expression","evm.utg12986.45"
"Primed Expression","evm.utg699.88"
"Primed Expression","evm.utg381.36"
"Primed Expression","evm.utg109.67"
"Primed Expression","evm.utg12986.44"
"Primed Expression","evm.utg172.118"
"Primed Expression","evm.utg2483.24"
"Primed Expression","evm.utg3722.5"
"Primed Expression","evm.utg29.20"
"Primed Expression","evm.utg1194.20"
"Primed Expression","evm.utg1972.88"
"Primed Expression","evm.utg379.74"
"Primed Expression","evm.utg4709.20"
"Primed Expression","evm.utg359.41"
"Primed Expression","evm.utg762.31"
"Primed Expression","evm.utg1925.43"
"Primed Expression","evm.utg5652.47"
"Primed Expression","evm.utg5390.41"
"Primed Expression","evm.utg8494.20"
"Primed Expression","evm.utg288.7"
"Primed Expression","evm.utg4155.52"
"Primed Expression","evm.utg1846.64"
"Primed Expression","evm.utg6379.13"
"Primed Expression","evm.utg1194.6"
"Primed Expression","evm.utg15013.17"
"Primed Expression","evm.utg14703.19"
"Primed Expression","evm.utg3284.11"
"Primed Expression","evm.utg3092.4"
"Primed Expression","evm.utg1691.33"
"Primed Expression","evm.utg162.15"
"Primed Expression","evm.utg320.90"
"Primed Expression","evm.utg1588.7"
"Primed Expression","evm.utg3452.16"
"Primed Expression","evm.utg597.154"
"Primed Expression","evm.utg4155.37"
"Primed Expression","evm.utg512.84"
"Primed Expression","evm.utg861.109"
"Primed Expression","utg479.equina_smart_1896045.mrna2"
"Primed Expression","evm.utg7821.27"
"Primed Expression","evm.utg167.8"
"Primed Expression","evm.utg762.11"
"Primed Expression","evm.utg372.48"
"Primed Expression","evm.utg479.12"
"Primed Expression","evm.utg86.85"
"Primed Expression","evm.utg17372.3"
"Primed Expression","evm.utg6504.21"
"Primed Expression","evm.utg3536.12"
"Primed Expression","evm.utg699.26"
"Primed Expression","evm.utg3884.1"
"Primed Expression","evm.utg150.74"
"Primed Expression","evm.utg2247.12"
"Primed Expression","evm.utg1272.146"
"Primed Expression","evm.utg109.30"
"Primed Expression","evm.utg7168.27"
"Primed Expression","evm.utg17954.5"
"Primed Expression","evm.utg4172.5"
"Primed Expression","evm.utg1846.65"
"Primed Expression","evm.utg6422.32"
"Primed Expression","evm.utg2083.29"
"Primed Expression","evm.utg1721.34"
"Primed Expression","evm.utg788.15"
"Primed Expression","evm.utg498.164"
"Primed Expression","evm.utg25318.5"
"Primed Expression","evm.utg5390.68"
"Primed Expression","evm.utg2757.41"
"Primed Expression","evm.utg27.113"
"Primed Expression","evm.utg9668.25"
"Primed Expression","evm.utg413.28"
"Primed Expression","evm.utg9668.26"
"Primed Expression","evm.utg56.5"
"Primed Expression","evm.utg700.9"
"Primed Expression","evm.utg564.40"
"Primed Expression","evm.utg351.24"
"Primed Expression","evm.utg334.70"
"Primed Expression","evm.utg3452.3"
"Primed Expression","evm.utg7412.19"
"Primed Expression","evm.utg36508.3"
"Primed Expression","evm.utg379.23"
"Primed Expression","evm.utg334.73"
"Primed Expression","evm.utg62.4"
"Primed Expression","evm.utg172.110"
"Primed Expression","evm.utg2601.97"
"Primed Expression","evm.utg868.70"
"Primed Expression","evm.utg637.30"
