"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","context","GO","region","experiment"
"GO:0003712","transcription coregulator activity",0.0303030303030303,0.00237968500485331,0.0131578947368421,12.7340510366826,3.29381899016912,0.0756483021970311,0.106797603101691,0.0515251593911667,"evm.utg320.52",1,"CHH","Molecular Functions","gene","Primed Experiment"
"GO:0043130","ubiquitin binding",0.0303030303030303,0.00372608573128346,0.00840336134453781,8.13267125031831,2.50705528442506,0.115959457833703,0.148790272199579,0.0717847804471653,"evm.utg2526.24",1,"CHG","Molecular Functions","gene","Primed Experiment"
"GO:0031267","small GTPase binding",0.0303030303030303,0.00378870902088487,0.00826446280991736,7.99824693213123,2.48046909298182,0.117792298824667,0.148790272199579,0.0717847804471653,"evm.utg7656.7",1,"CHG","Molecular Functions","gene","Primed Experiment"
"GO:0016874","ligase activity",0.0303030303030303,0.00510379810251432,0.00613496932515337,5.93734894961889,2.03248027876576,0.155441673887422,0.186530008664906,0.0899925480400864,"evm.utg2526.24",1,"CHG","Molecular Functions","gene","Primed Experiment"
"GO:0008234","cysteine-type peptidase activity",0.0303030303030303,0.0068572502113536,0.0045662100456621,4.41912273419123,1.63289595100181,0.20322497038886,0.232257109015841,0.112053868384835,"utg5074.evm.utg7286.34.mrna4",1,"CpG","Molecular Functions","gene","Primed Experiment"
"GO:0005085","guanyl-nucleotide exchange factor activity",0.0303030303030303,0.00854807903059148,0.00366300366300366,3.54501054501055,1.3581967366545,0.246813050805739,0.269250600878988,0.129901605687231,"evm.utg6373.20",1,"CpG","Molecular Functions","gene","Primed Experiment"
"GO:0004252","serine-type endopeptidase activity",0.0303030303030303,0.0108651407458434,0.00288184438040346,2.78901405990743,1.07765150453286,0.302807303886691,0.315972838838286,0.152443036281629,"evm.utg579.116",1,"CHG","Molecular Functions","gene","Primed Experiment"
"GO:0090729","toxin activity",0.0303030303030303,0.0143094216739205,0.00218818380743982,2.11769776540017,0.773997899835302,0.378650900050139,0.378650900050139,0.182682451778576,"evm.utg579.116",1,"CHG","Molecular Functions","gene","Primed Experiment"
"GO:0031369","translation initiation factor binding",0.0416666666666667,0.000469674672010521,0.0666666666666667,88.7138888888889,9.31817824706857,0.0112155345649574,0.0665860842812354,0.0300388350140912,"evm.utg2353.1",1,"CHH","Molecular Functions","dispersed_repeat","Primed Experiment"
"GO:0004100","chitin synthase activity",0.0416666666666667,0.00068885618561543,0.0454545454545455,60.4867424242424,7.65413587693364,0.0164081017210221,0.0665860842812354,0.0300388350140912,"evm.utg590.24",1,"CpG","Molecular Functions","dispersed_repeat","Primed Experiment"
"GO:0008483","transaminase activity",0.0416666666666667,0.00090803769922034,0.0344827586206897,45.8864942528736,6.63173187425765,0.0215745307608506,0.0665860842812354,0.0300388350140912,"evm.utg30804.6",1,"CpG","Molecular Functions","dispersed_repeat","Primed Experiment"
"GO:0008483","transaminase activity",0.0416666666666667,0.00090803769922034,0.0344827586206897,45.8864942528736,6.63173187425765,0.0215745307608506,0.0665860842812354,0.0300388350140912,"evm.utg30804.6",1,"CHH","Molecular Functions","dispersed_repeat","Primed Experiment"
"GO:0045296","cadherin binding",0.0416666666666667,0.00100197263362244,0.03125,41.5846354166667,6.29896692827612,0.0237807443861555,0.0665860842812354,0.0300388350140912,"evm.utg1162.37",1,"CHH","Molecular Functions","dispersed_repeat","Primed Experiment"
"GO:0015267","channel activity",0.0416666666666667,0.00122115414722735,0.0256410256410256,34.1207264957265,5.67560935113518,0.0289100514795025,0.0671834389227622,0.0303083183110205,"evm.utg3210.25",1,"CpG","Molecular Functions","dispersed_repeat","Primed Experiment"
"GO:0005262","calcium channel activity",0.0416666666666667,0.00172214046403858,0.0181818181818182,24.194696969697,4.72127539199822,0.0405373751442732,0.0709404065024782,0.0320031909033736,"evm.utg2849.8",1,"CHG","Molecular Functions","dispersed_repeat","Primed Experiment"
"GO:0005249","voltage-gated potassium channel activity",0.0416666666666667,0.00325641105927294,0.00961538461538462,12.7952724358974,3.30406000417239,0.0753219357331764,0.10642671552261,0.0480120521154632,"evm.utg12724.17",1,"CpG","Molecular Functions","dispersed_repeat","Primed Experiment"
