"region_from_list","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","gene_id_labelling","Count","geneID_gene_level","dmr_feature_id","region_feature","context","methDiff","p_fdr","n_unique_genes_for_term","n_dmr_features_for_term","GO","region","experiment","GeneRatio_raw","BgRatio_raw","ontology","semantic_cluster_id","semantic_cluster_GO","semantic_cluster_Description","cluster_size","mean_similarity_to_cluster"
"exon","GO:0046983","protein dimerization activity",0.2,0.00602409638554217,0.5,33.2,5.63947950022463,0.029938485058057,0.0892727735992036,0.0469856703153703,"evm.utg1724.20",1,"evm.utg1724.20","exp2__exon__evm.utg1724.20__19274","exon","CHH",-0.100922722,0.068157668,1,1,"Molecular Functions","exon","Acute Experiment","1/5","2/332","MF","MF_34","GO:0046983","protein dimerization activity",3,0.698787635111889
"exon","GO:0098632","cell-cell adhesion mediator activity",0.2,0.00903614457831325,0.333333333333333,22.1333333333333,4.53999949211085,0.0446363867996018,0.0892727735992036,0.0469856703153703,"utg4321.evm.utg13237.7.mrna4",1,"utg4321.evm.utg13237.7.mrna4","exp2__exon__utg4321.evm.utg13237.7.mrna4__19684","exon","CHH",-0.307692308,0.068157668,1,1,"Molecular Functions","exon","Acute Experiment","1/5","3/332","MF","MF_36","GO:0098632","cell-cell adhesion mediator activity",2,0.763749350310713
"exon","GO:0003677","DNA binding",0.4,0.132530120481928,0.0454545454545455,3.01818181818182,1.77466141288597,0.132307077509756,0.176409436679675,0.0928470719366711,"evm.utg1746.24",2,"evm.utg1746.24/evm.utg4977.3","exp2__exon__evm.utg1746.24__19279","exon","CHH",-0.156936598,0.068157668,2,2,"Molecular Functions","exon","Acute Experiment","2/5","44/332","MF","MF_4","GO:0003676","nucleic acid binding",7,0.690061607206899
"exon","GO:0003677","DNA binding",0.4,0.132530120481928,0.0454545454545455,3.01818181818182,1.77466141288597,0.132307077509756,0.176409436679675,0.0928470719366711,"evm.utg4977.3",2,"evm.utg1746.24/evm.utg4977.3","exp2__exon__evm.utg4977.3__19775","exon","CHH",-0.436893204,0.068157668,2,2,"Molecular Functions","exon","Acute Experiment","2/5","44/332","MF","MF_4","GO:0003676","nucleic acid binding",7,0.690061607206899
"exon","GO:0003964","RNA-directed DNA polymerase activity",0.2,0.0421686746987952,0.0714285714285714,4.74285714285714,1.7667651817434,0.1948738960201,0.1948738960201,0.102565208431631,"evm.utg1143.29",1,"evm.utg1143.29","exp2__exon__evm.utg1143.29__19063","exon","CHH",-0.903342367,0.068157668,1,1,"Molecular Functions","exon","Acute Experiment","1/5","14/332","MF","MF_10","GO:0003964","RNA-directed DNA polymerase activity",2,0.834574652908918
"gene","GO:0006508","proteolysis",0.1875,0.0588235294117647,0.333333333333333,3.1875,2.30414376008818,0.0536769119598193,0.167320261437909,0.167320261437909,"utg5074.evm.utg7286.34.mrna4",3,"utg5074.evm.utg7286.34.mrna4/evm.utg579.116/utg579.evm.utg11123.1.6.5c22e8a4.mrna3","exp2__gene__utg5074.evm.utg7286.34.mrna4__5887","gene","CpG",-1.701323251,0.0062511,3,4,"Biological Processes","gene","Acute Experiment","3/16","9/153","BP","BP_5","GO:0006508","proteolysis",3,0.629328943199752
"gene","GO:0006508","proteolysis",0.1875,0.0588235294117647,0.333333333333333,3.1875,2.30414376008818,0.0536769119598193,0.167320261437909,0.167320261437909,"utg5074.evm.utg7286.34.mrna4",3,"utg5074.evm.utg7286.34.mrna4/evm.utg579.116/utg579.evm.utg11123.1.6.5c22e8a4.mrna3","exp2__gene__utg5074.evm.utg7286.34.mrna4__5893","gene","CpG",-2.572347267,0.089681931,3,4,"Biological Processes","gene","Acute Experiment","3/16","9/153","BP","BP_5","GO:0006508","proteolysis",3,0.629328943199752
"gene","GO:0006508","proteolysis",0.1875,0.0588235294117647,0.333333333333333,3.1875,2.30414376008818,0.0536769119598193,0.167320261437909,0.167320261437909,"evm.utg579.116",3,"utg5074.evm.utg7286.34.mrna4/evm.utg579.116/utg579.evm.utg11123.1.6.5c22e8a4.mrna3","exp2__gene__evm.utg579.116__12275","gene","CHG",-0.643500644,0.086817633,3,4,"Biological Processes","gene","Acute Experiment","3/16","9/153","BP","BP_5","GO:0006508","proteolysis",3,0.629328943199752
"gene","GO:0006508","proteolysis",0.1875,0.0588235294117647,0.333333333333333,3.1875,2.30414376008818,0.0536769119598193,0.167320261437909,0.167320261437909,"utg579.evm.utg11123.1.6.5c22e8a4.mrna3",3,"utg5074.evm.utg7286.34.mrna4/evm.utg579.116/utg579.evm.utg11123.1.6.5c22e8a4.mrna3","exp2__gene__utg579.evm.utg11123.1.6.5c22e8a4.mrna3__12276","gene","CHG",-0.643500644,0.086817633,3,4,"Biological Processes","gene","Acute Experiment","3/16","9/153","BP","BP_5","GO:0006508","proteolysis",3,0.629328943199752
"gene","GO:0000724","double-strand break repair via homologous recombination",0.0625,0.0065359477124183,1,9.5625,2.92617497767991,0.104575163398693,0.167320261437909,0.167320261437909,"evm.utg43451.17",1,"evm.utg43451.17","exp2__gene__evm.utg43451.17__5762","gene","CpG",-3.041825095,0.008102343,1,1,"Biological Processes","gene","Acute Experiment","1/16","1/153","BP","BP_1","GO:0016070","RNA metabolic process",9,0.556967066600454
