"region","context","file_prefix","percent_methylation","sample_id","treatment","group"
"dispersed_repeat","CpG","13",1.15606936416185,"13",0,"Control"
"dispersed_repeat","CpG","13",0.832466181061394,"13",0,"Control"
"dispersed_repeat","CpG","13",1.76991150442478,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",19.6013289036545,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",1.03092783505155,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",10,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0.632466619817287,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",42.5287356321839,"13",0,"Control"
"dispersed_repeat","CpG","13",47.8260869565217,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",2.30547550432277,"13",0,"Control"
"dispersed_repeat","CpG","13",100,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",16.9642857142857,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0.497512437810945,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",20,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",10,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0.404858299595142,"13",0,"Control"
"dispersed_repeat","CpG","13",1.27388535031847,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",6.25,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",3.44827586206897,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",2.32558139534884,"13",0,"Control"
