"Method","Contrast","Ontology","Original GO ID","Original GO term","Semantic cluster ID","Representative semantic GO ID","Representative semantic GO term","Adjusted p-value","GeneRatio","Count","setSize","FoldEnrichment","NES","Genes"
"GSEA","additive","biological_processes","GO:0061780","mitotic cohesin loading","BP_1","GO:0061780","mitotic cohesin loading",0.0303293474474006,NA,NA,60,NA,-1.79714578429772,"evm.utg415.70/evm.utg5950.20/evm.utg625.110/evm.utg190.1/evm.utg858.19/evm.utg16036.16/evm.utg7264.7/evm.utg4383.28/evm.utg56.47/evm.utg2817.19/evm.utg3159.12/evm.utg149521.3/evm.utg2338.18/evm.utg2129.202/evm.utg4194.18/evm.utg381.50/evm.utg4501.15/evm.utg2115.15/evm.utg92.148/evm.utg1925.21/evm.utg92.119/evm.utg1243.12/evm.utg16036.27/evm.utg2581.2/evm.utg1900.25/evm.utg4194.25/evm.utg470.50/evm.utg225.60/evm.utg207.124/evm.utg1140.13/evm.utg7286.58"
"ORA","interactive","biological_processes","GO:0000070","mitotic sister chromatid segregation","BP_1","GO:0061780","mitotic cohesin loading",0.0372055305685901,0.0212765957446809,1,NA,113.617021276596,NA,"evm.utg729.78"
"ORA","salinity_only","biological_processes","GO:0030178","negative regulation of Wnt signaling pathway","BP_16","GO:0030178","negative regulation of Wnt signaling pathway",0.0221020361244507,0.00392772977219167,10,NA,4.19481539670071,NA,"evm.utg145.77/evm.utg207.14/evm.utg324.18/evm.utg324.199/evm.utg2200.45/evm.utg2814.19/evm.utg3470.1/evm.utg3872.40/utg3872.equina_smart_1074056.mrna2/evm.utg4177.54"
"ORA","interactive","biological_processes","GO:0050775","positive regulation of dendrite morphogenesis","BP_19","GO:0050775","positive regulation of dendrite morphogenesis",0.0280547752808987,0.0212765957446809,1,NA,454.468085106383,NA,"evm.utg194.33"
"ORA","interactive","biological_processes","GO:1901485","positive regulation of transcription factor catabolic process","BP_14","GO:1901485","positive regulation of transcription factor catabolic process",0.0280547752808987,0.0212765957446809,1,NA,454.468085106383,NA,"evm.utg194.33"
"ORA","interactive","biological_processes","GO:0010950","positive regulation of endopeptidase activity","BP_14","GO:1901485","positive regulation of transcription factor catabolic process",0.0372055305685901,0.0212765957446809,1,NA,151.489361702128,NA,"evm.utg1663.42"
"ORA","interactive","biological_processes","GO:0061136","regulation of proteasomal protein catabolic process","BP_14","GO:1901485","positive regulation of transcription factor catabolic process",0.0372055305685901,0.0212765957446809,1,NA,90.8936170212766,NA,"evm.utg1663.42"
"ORA","interactive","biological_processes","GO:0007023","post-chaperonin tubulin folding pathway","BP_11","GO:0007023","post-chaperonin tubulin folding pathway",0.0372055305685901,0.0212765957446809,1,NA,75.7446808510638,NA,"evm.utg10321.15"
"GSEA","additive","biological_processes","GO:0051260","protein homooligomerization","BP_20","GO:0051260","protein homooligomerization",0.0487819947620271,NA,NA,114,NA,1.95571168817236,"evm.utg10358.10/evm.utg14902.29/evm.utg280.17/evm.utg2108.2/evm.utg280.28/evm.utg9902.8/evm.utg3722.2/evm.utg3722.4/evm.utg8494.92/evm.utg695.1/evm.utg3722.3/evm.utg109.86/evm.utg4898.5/evm.utg2246.35/evm.utg18019.8/evm.utg12724.17/evm.utg2246.33/evm.utg977.31/evm.utg300.50/evm.utg280.29/evm.utg1049.14/evm.utg12724.16/evm.utg3884.38/evm.utg332.9/evm.utg1721.30/evm.utg300.52/evm.utg31304.13/evm.utg344.4/evm.utg10628.24/evm.utg27318.18/evm.utg1354.19/evm.utg332.2/evm.utg1205.59/evm.utg27318.20.21/evm.utg17511.15/evm.utg370.102/evm.utg109.58/evm.utg3884.37/evm.utg17511.16.18/evm.utg8778.1/evm.utg55.23/evm.utg101.29"
"ORA","diesel_added","biological_processes","GO:0071539","protein localization to centrosome","BP_13","GO:0071539","protein localization to centrosome",0.0169177204349162,0.00755287009063444,5,NA,10.7552870090634,NA,"evm.utg172.38/evm.utg338.46/evm.utg338.47/evm.utg4172.3/evm.utg9769.13"
