"experiment","ontology","region","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","n_unique_genes","n_dmr_features","contributing_genes","methDiff_values","semantic_cluster_description","significance"
"Acute Experiment","Molecular function","gene","GO:0043539","protein serine/threonine kinase activator activity","1/24","1/813",0.029520295202952,0.1230012300123,0.0984009840098399,1,1,1,"evm.utg40512.5","-0.444444444","protein serine/threonine kinase activator activity","ns"
"Acute Experiment","Molecular function","gene","GO:0003884","D-amino-acid oxidase activity","1/24","2/813",0.0582044244087758,0.195625159762658,0.156500127810127,1,1,1,"evm.utg35662.1","-1.724137931","D-amino-acid oxidase activity","ns"
"Acute Experiment","Molecular function","gene","GO:0046872","metal ion binding","6/24","102/813",0.0683640600112229,0.195625159762658,0.156500127810127,6,6,6,"evm.utg11814.6; evm.utg1571.14; evm.utg2327.13; evm.utg29536.5; evm.utg6459.27; utg101.equina_smart_1619046.mrna5","-0.954979536; -3.658536585; 0.355111086; -2.763800327; -0.721500722; -1.271571299","metal ion binding","ns"
"Acute Experiment","Molecular function","gene","GO:0004197","cysteine-type endopeptidase activity","1/24","3/813",0.0860750702955696,0.195625159762658,0.156500127810127,1,1,1,"evm.utg4856.49","-2.83286119","cysteine-type endopeptidase activity","ns"
"Acute Experiment","Molecular function","gene","GO:0070403","NAD+ binding","1/24","3/813",0.0860750702955696,0.195625159762658,0.156500127810127,1,1,1,"evm.utg11814.7","-2.763800327","nucleotide binding","ns"
"Acute Experiment","Molecular function","gene","GO:0071949","FAD binding","1/24","3/813",0.0860750702955696,0.195625159762658,0.156500127810127,1,1,1,"evm.utg35662.1","-1.724137931","nucleotide binding","ns"
"Acute Experiment","Molecular function","gene","GO:0003723","RNA binding","2/24","22/813",0.134785568833364,0.241725167756029,0.193380134204823,2,2,2,"evm.utg1571.14; evm.utg17539.13","-0.954979536; 1.488095238","nucleic acid binding","ns"
"Acute Experiment","Molecular function","gene","GO:0008017","microtubule binding","1/24","5/813",0.139463717015473,0.241725167756029,0.193380134204823,1,1,2,"evm.utg4428.8","2.283105023; 1.353345571","microtubule binding","ns"
"Acute Experiment","Molecular function","gene","GO:0016779","nucleotidyltransferase activity","1/24","5/813",0.139463717015473,0.241725167756029,0.193380134204823,1,1,1,"evm.utg6459.27","-1.271571299","RNA-directed DNA polymerase activity","ns"
"Acute Experiment","Molecular function","gene","GO:0004672","protein kinase activity","2/24","23/813",0.145035100653617,0.241725167756029,0.193380134204823,2,2,3,"evm.utg116.142; evm.utg2661.21","-2.764976959; -1.025641026; -0.856327307","protein serine/threonine kinase activity","ns"
