"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","gene_id_labelling","Count","geneID_gene_level","dmr_feature_id","region_feature","context","methDiff","p_fdr","n_unique_genes_for_term","n_dmr_features_for_term","GO","region","experiment","GeneRatio_raw","BgRatio_raw"
"GO:0016567","protein ubiquitination",0.0555555555555556,0.0342205323193916,0.0555555555555556,1.62345679012346,0.50616813778493,0.47128252755987,0.5236472528443,0.303164199015121,"evm.utg11814.6",1,"evm.utg11814.6","exp1__gene__evm.utg11814.6__8292","gene","CHG",-2.763800327,0.078881824,1,1,"Biological Processes","gene","Acute Experiment","1/18","18/526"
"GO:0006508","proteolysis",0.0555555555555556,0.0741444866920152,0.0256410256410256,0.749287749287749,-0.30600422773141,0.755981966649557,0.79577049121006,0.460709231753193,"evm.utg4856.49",1,"evm.utg4856.49","exp1__gene__evm.utg4856.49__4379","gene","CpG",-2.83286119,0.043912743,1,1,"Biological Processes","gene","Acute Experiment","1/18","39/526"
"GO:0015074","DNA integration",0.0555555555555556,0.091254752851711,0.0208333333333333,0.608796296296296,-0.534679676102021,0.826631610753064,0.826631610753064,0.478576195699142,"evm.utg334.43",1,"evm.utg334.43","exp1__gene__evm.utg334.43__15342","gene","CHH",1.161751564,0.07081632,1,1,"Biological Processes","gene","Acute Experiment","1/18","48/526"
"GO:0035368","selenocysteine insertion sequence binding",0.0833333333333333,0.00492004920049201,0.5,16.9375,5.56956230343832,0.0048372987662867,0.120932469157167,0.096745975325734,"evm.utg7127.52",2,"evm.utg7127.52/utg7127.equina_smart_1282991.mrna2","exp1__gene__evm.utg7127.52__4622","gene","CpG",-3.080892396,0.070392316,2,2,"Molecular Functions","gene","Acute Experiment","2/24","4/813"
"GO:0035368","selenocysteine insertion sequence binding",0.0833333333333333,0.00492004920049201,0.5,16.9375,5.56956230343832,0.0048372987662867,0.120932469157167,0.096745975325734,"utg7127.equina_smart_1282991.mrna2",2,"evm.utg7127.52/utg7127.equina_smart_1282991.mrna2","exp1__gene__utg7127.equina_smart_1282991.mrna2__4623","gene","CpG",-3.080892396,0.070392316,2,2,"Molecular Functions","gene","Acute Experiment","2/24","4/813"
"GO:0003724","RNA helicase activity",0.0416666666666667,0.001230012300123,1,33.875,5.73367247058986,0.029520295202952,0.1230012300123,0.0984009840098399,"evm.utg1571.14",1,"evm.utg1571.14","exp1__gene__evm.utg1571.14__3751","gene","CpG",-0.954979536,0.049259963,1,1,"Molecular Functions","gene","Acute Experiment","1/24","1/813"
"GO:0003857","3-hydroxyacyl-CoA dehydrogenase activity",0.0416666666666667,0.001230012300123,1,33.875,5.73367247058986,0.029520295202952,0.1230012300123,0.0984009840098399,"evm.utg11814.7",1,"evm.utg11814.7","exp1__gene__evm.utg11814.7__8293","gene","CHG",-2.763800327,0.078881824,1,1,"Molecular Functions","gene","Acute Experiment","1/24","1/813"
"GO:0004300","enoyl-CoA hydratase activity",0.0416666666666667,0.001230012300123,1,33.875,5.73367247058986,0.029520295202952,0.1230012300123,0.0984009840098399,"evm.utg11814.7",1,"evm.utg11814.7","exp1__gene__evm.utg11814.7__8293","gene","CHG",-2.763800327,0.078881824,1,1,"Molecular Functions","gene","Acute Experiment","1/24","1/813"
"GO:0004721","phosphoprotein phosphatase activity",0.0416666666666667,0.001230012300123,1,33.875,5.73367247058986,0.029520295202952,0.1230012300123,0.0984009840098399,"evm.utg6459.27",1,"evm.utg6459.27","exp1__gene__evm.utg6459.27__15885","gene","CHH",-1.271571299,0.000841832,1,1,"Molecular Functions","gene","Acute Experiment","1/24","1/813"
"GO:0043539","protein serine/threonine kinase activator activity",0.0416666666666667,0.001230012300123,1,33.875,5.73367247058986,0.029520295202952,0.1230012300123,0.0984009840098399,"evm.utg40512.5",1,"evm.utg40512.5","exp1__gene__evm.utg40512.5__8931","gene","CHG",-0.444444444,0.053161946,1,1,"Molecular Functions","gene","Acute Experiment","1/24","1/813"
