"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","GO","contrast"
"GO:0090729...42","GO:0090729","toxin activity",340,0.366723307886295,1.69488008978882,0.00131995969724914,0.036058064576295,0.030952098038549,7658,"tags=29%, list=18%, signal=24%","evm.utg4605.4/evm.utg4796.13/evm.utg1846.76/evm.utg2757.6/evm.utg579.116/evm.utg18036.10/evm.utg4177.23/evm.utg2932.9/evm.utg1694.43/evm.utg2291.1/evm.utg1302.15/evm.utg436.16/evm.utg56.44/utg1846.equina_smart_916736.mrna1/evm.utg2024.4/evm.utg7066.5/evm.utg977.7/evm.utg18036.9/evm.utg1272.32/evm.utg1278.52/evm.utg7066.3/evm.utg2932.7/utg4062.equina_smart_1466336.mrna2/evm.utg3790.18/utg2156.equina_smart_1726560.mrna2/evm.utg1623.26/evm.utg436.18/evm.utg2007.2/evm.utg3787.20/evm.utg1629.2/evm.utg7289.63/utg1846.equina_smart_1438253.mrna1/evm.utg910.117/evm.utg4605.36/utg1786.equina_smart_956984.mrna1/evm.utg5059.48/utg4455.equina_smart_1048859.mrna1/evm.utg190.77/evm.utg4605.41/utg388.equina_smart_337793.mrna2/evm.utg590.7/utg245.equina_smart_826176.mrna1/evm.utg1575.1/evm.utg2858.30/evm.utg2704.27/evm.utg1358.29/evm.utg6373.14/evm.utg27988.8/evm.utg4956.15/utg4455.equina_smart_1548799.mrna1/evm.utg4177.21/evm.utg4605.40/evm.utg3899.24/evm.utg436.20/evm.utg34597.12/evm.utg6445.1/evm.utg436.19/evm.utg1786.15/evm.utg300.70/evm.utg910.118/evm.utg1272.125/evm.utg21429.1/utg1786.equina_smart_1688722.mrna2/utg2667.equina_smart_398419.mrna2/evm.utg405.75/utg144.equina_smart_1238220.mrna1/evm.utg5390.20/utg2156.equina_smart_270287.mrna1/evm.utg14.51/evm.utg1497.9/evm.utg3284.9/evm.utg32707.1/evm.utg116.189/evm.utg5059.46/evm.utg7403.5/evm.utg234.37/evm.utg2115.17/utg6781.equina_smart_1461350.mrna1/evm.utg2704.26/evm.utg125.162/evm.utg4271.90/evm.utg729.116/evm.utg126.83/evm.utg293.23/evm.utg2379.7/evm.utg1919.9/utg2156.equina_smart_428150.mrna1/evm.utg115.9/utg9284.equina_smart_1466336.mrna1/utg6781.equina_smart_1389976.mrna2/evm.utg1542.15/utg2156.equina_smart_1442310.mrna1/evm.utg276.4/evm.utg735.57/utg2156.equina_smart_934493.mrna1/evm.utg2247.30/utg2156.equina_smart_1400709.mrna2/evm.utg1746.3/evm.utg52.111","molecular_functions","diesel_added"
"GO:0030414...43","GO:0030414","peptidase inhibitor activity",78,-0.640560899503273,-2.3755887775935,6.89074762571572e-07,0.000231529120224048,0.000211074479903503,3858,"tags=40%, list=9%, signal=36%","evm.utg209609.2/evm.utg379.46/evm.utg1609.5/evm.utg544.14/evm.utg334.78/evm.utg580.26/evm.utg413.23/evm.utg5689.7/evm.utg32458.10/evm.utg5689.8/evm.utg8.10/evm.utg2100.31/utg19074.equina_smart_1694011.mrna2/evm.utg580.6/utg334.equina_smart_1340223.mrna2/evm.utg5073.2/evm.utg19074.8/evm.utg616.126/evm.utg413.26/evm.utg104.64/evm.utg1290.3/evm.utg20736.15/evm.utg1290.2/evm.utg37512.1/evm.utg544.11/utg544.equina_smart_1559235utrorf.mrna1/evm.utg2417.38/evm.utg14703.2/evm.utg4207.23/evm.utg104.63/evm.utg52.99","molecular_functions","salinity_added"
"GO:0005525...44","GO:0005525","GTP binding",500,0.374373346037009,1.75770192509613,7.08607583757265e-06,0.00119046074071221,0.00108528845722823,4498,"tags=14%, list=11%, signal=13%","evm.utg7168.11/evm.utg7168.18/evm.utg7168.14/evm.utg7168.12/evm.utg7168.17/evm.utg1786.18/evm.utg420.132/evm.utg1609.51/evm.utg14876.3/utg31304.equina_smart_1477688.mrna1/evm.utg1575.28/evm.utg1786.17/evm.utg4576.2/evm.utg4576.3/evm.utg817.5/evm.utg1686.10.11/utg693.equina_smart_1421073.mrna1/evm.utg514.15/evm.utg4157.38/evm.utg470.8/evm.utg116.291/evm.utg693.2/evm.utg2969.16/evm.utg693.3/evm.utg55532.4/evm.utg1363.5/utg2969.equina_smart_124203.mrna2/evm.utg1786.19/evm.utg693.4/evm.utg1277.42/evm.utg3509.8/evm.utg262.10.11/evm.utg300.55/evm.utg31304.1/evm.utg3906.11/evm.utg276.53/evm.utg1363.53/evm.utg364.46/evm.utg1551.1/evm.utg7938.3/evm.utg217.39/evm.utg62.18/evm.utg320.116/evm.utg1091.38/evm.utg4796.8/evm.utg1919.103/evm.utg31304.3/evm.utg5885.30/evm.utg86.83/evm.utg31304.2/evm.utg693.6/evm.utg693.5/evm.utg378.53/evm.utg401.64/evm.utg8.30/evm.utg2417.49/evm.utg18.6/evm.utg714.18/evm.utg18.4/evm.utg4576.1/evm.utg15552.6/evm.utg116.364/evm.utg625.38/evm.utg280.52/evm.utg31304.4/evm.utg1363.3/evm.utg3284.40/evm.utg577.36/evm.utg207.128/evm.utg1363.6/evm.utg126.129/evm.utg10541.3","molecular_functions","salinity_added"
"GO:0140662...45","GO:0140662","ATP-dependent protein folding chaperone",48,0.698944839715737,2.38175468925203,1.80858722709e-05,0.0020256176943408,0.00184666274766032,5082,"tags=52%, list=12%, signal=46%","evm.utg14533.3/evm.utg405.9/evm.utg2818.25/evm.utg3155.40/evm.utg736.62/utg125.equina_smart_1399144.mrna1/evm.utg109891.3/evm.utg2801.49/evm.utg1056.108/evm.utg129.13/evm.utg3155.45/evm.utg3155.44/evm.utg1056.109/evm.utg95.9/evm.utg8494.56/evm.utg19612.5/evm.utg637.4/evm.utg798.21/evm.utg125.72/evm.utg280.41/evm.utg2129.128/evm.utg2246.95/evm.utg3155.43/utg125.equina_smart_942076.mrna2/evm.utg2108.14","molecular_functions","salinity_added"
"GO:0005200...46","GO:0005200","structural constituent of cytoskeleton",46,0.704446828791973,2.37736242037419,8.24537140593739e-05,0.0064658922078251,0.00589465736991574,7759,"tags=65%, list=18%, signal=53%","utg31304.equina_smart_1477688.mrna1/evm.utg1575.28/utg693.equina_smart_1421073.mrna1/evm.utg693.2/evm.utg693.3/evm.utg1363.5/utg2969.equina_smart_124203.mrna2/evm.utg693.4/evm.utg1277.42/evm.utg262.10.11/evm.utg31304.1/evm.utg31304.3/evm.utg31304.2/evm.utg693.6/evm.utg693.5/evm.utg378.53/evm.utg18.6/evm.utg18.4/evm.utg31304.4/evm.utg1363.3/evm.utg1363.6/evm.utg338.64/evm.utg1609.43/evm.utg3201.11/evm.utg1609.42/utg1363.equina_smart_1433367.mrna1/evm.utg1609.41/evm.utg3201.10/evm.utg18.5/evm.utg612.4","molecular_functions","salinity_added"
"GO:0004252...47","GO:0004252","serine-type endopeptidase activity",266,-0.383731744230653,-1.6855320495308,0.00011546236085402,0.0064658922078251,0.00589465736991574,8969,"tags=34%, list=21%, signal=27%","evm.utg699.52/utg501.equina_smart_1416296.mrna1/evm.utg750.80/evm.utg324.60/evm.utg125.190/evm.utg307.8/evm.utg1002.26/evm.utg52.25/utg1629.equina_smart_1005224.mrna2/utg1910.equina_smart_44201.mrna1/evm.utg234.109/evm.utg78.75/evm.utg2156.29.31/evm.utg293.38/evm.utg234.77/evm.utg625.112/evm.utg2779.10/evm.utg86.55/evm.utg2083.34/evm.utg52.48/evm.utg1302.12/evm.utg21429.1/evm.utg4880.18/evm.utg479.78/evm.utg7821.45/evm.utg8494.84/evm.utg1372.13/evm.utg1629.8/evm.utg5033.10/evm.utg78.73/evm.utg616.127/evm.utg1754.56/evm.utg1629.15/evm.utg5885.37/evm.utg109.108/evm.utg338.40/evm.utg401.8/evm.utg24783.15/evm.utg699.53/evm.utg1270.11/evm.utg1754.60/evm.utg26572.6/evm.utg868.85/evm.utg234.79/evm.utg2159.33/evm.utg24053.6/evm.utg1629.16/evm.utg1372.9/evm.utg234.133/evm.utg11123.4/evm.utg699.89/evm.utg225.2/evm.utg150.55/utg234.evm.utg234.133.mrna2/evm.utg729.128/evm.utg868.84/evm.utg1754.58/evm.utg234.36/evm.utg234.138/evm.utg910.128/evm.utg666.10/evm.utg1270.27/evm.utg1372.11/evm.utg699.90/evm.utg5370.3/evm.utg4613.98/evm.utg868.83/evm.utg15197.20/evm.utg14412.1/evm.utg5689.7/evm.utg5689.8/evm.utg729.124/evm.utg597.215/evm.utg1285.84/evm.utg4271.42/evm.utg5689.4/evm.utg24053.5/evm.utg1629.7/evm.utg234.140/evm.utg616.126/evm.utg2716.9/evm.utg666.12/evm.utg1629.18/evm.utg5370.2/evm.utg116.256/evm.utg129.41/evm.utg2704.30/evm.utg13322.6/evm.utg2704.29/evm.utg1629.17/evm.utg1052.21","molecular_functions","salinity_added"
"GO:0005044...48","GO:0005044","scavenger receptor activity",330,-0.366642884729401,-1.64867065841433,0.000109244610497111,0.0064658922078251,0.00589465736991574,6763,"tags=28%, list=16%, signal=24%","evm.utg1358.33/evm.utg2969.49/evm.utg577.89/evm.utg5176.8/evm.utg5059.7/evm.utg388.13/evm.utg1358.31/evm.utg9472.6/utg750.equina_smart_1166396.mrna1/evm.utg6677.7/evm.utg2969.47/evm.utg300.24/evm.utg7127.7/evm.utg415.29/evm.utg1285.28/evm.utg5176.5/evm.utg236.2/evm.utg5059.6/evm.utg9472.9/evm.utg936.22/evm.utg579.57/evm.utg9472.7/evm.utg858.1/evm.utg2838.15/evm.utg3790.31/evm.utg858.72/evm.utg577.67/evm.utg19356.8/evm.utg5059.8/evm.utg236.6/evm.utg2246.57/evm.utg10588.23/evm.utg577.68/evm.utg1765.4/evm.utg6677.2/evm.utg6401.64/evm.utg5294.28/utg750.equina_smart_3716.mrna2/evm.utg5059.9/evm.utg17602.1/evm.utg1765.2/evm.utg5370.3/utg9625.equina_smart_1466841utrorf.mrna1/utg388.equina_smart_563588.mrna1/evm.utg6677.6/utg9625.equina_smart_1466841.mrna1/evm.utg7148.9/evm.utg8851.76/evm.utg17602.2/evm.utg1765.1/evm.utg24783.2/evm.utg24783.3/evm.utg54.10/evm.utg1330.23/evm.utg15506.27/evm.utg4796.28/evm.utg54.9/evm.utg2858.6/evm.utg26093.3/evm.utg363.1/evm.utg24783.4/utg858.evm.utg79231.1.mrna2/evm.utg2200.4/evm.utg8851.75/evm.utg363.8/evm.utg15664.3/utg73.equina_smart_1395412.mrna1/evm.utg108328.4/evm.utg6446.13/evm.utg54.8/evm.utg116.316/evm.utg5370.2/evm.utg108328.3/evm.utg5059.10/utg236.evm.utg19356.5.mrna2/evm.utg26093.4/evm.utg236.4/evm.utg1285.29/evm.utg1052.13/evm.utg8851.77/evm.utg324.92/evm.utg13.50/evm.utg572.21/evm.utg577.94/evm.utg577.79/evm.utg2704.30/evm.utg2123.45/evm.utg13.51/evm.utg2858.1/evm.utg338.89/evm.utg2704.29/evm.utg577.97","molecular_functions","salinity_added"
"GO:0003700...49","GO:0003700","DNA-binding transcription factor activity",272,0.399867550088728,1.77703268710176,0.000144432266206505,0.00693274877791225,0.00632026909264556,6687,"tags=30%, list=16%, signal=26%","evm.utg420.46/evm.utg34597.9/evm.utg34597.8/evm.utg34597.7/evm.utg420.44/evm.utg3403.1/evm.utg1507.1/evm.utg34597.10/evm.utg2716.7/evm.utg104.72/evm.utg78.71/evm.utg777.4/evm.utg2426.18/evm.utg104.73/evm.utg109.65/evm.utg116.190/evm.utg3403.3/evm.utg4.9/evm.utg750.43/evm.utg3474.31/evm.utg7522.11/evm.utg3283.34/evm.utg1507.6/evm.utg761.42/evm.utg162.25/evm.utg163.36.38/evm.utg1051.38/evm.utg9762.1/evm.utg479.157/evm.utg1565.12/evm.utg2129.13/evm.utg6959.3/evm.utg1995.8/evm.utg324.209/evm.utg420.41/evm.utg29.1/evm.utg1005.68/evm.utg777.45/evm.utg26697.3/evm.utg13607.9/evm.utg3803.11/evm.utg3474.30/evm.utg3899.14/evm.utg15156.22/evm.utg10463.13/evm.utg3913.44/evm.utg27.69/evm.utg536.24/evm.utg5652.41/evm.utg381.78/evm.utg7217.31/evm.utg320.141/evm.utg3913.31/evm.utg15156.23/evm.utg18294.6/evm.utg4326.26/evm.utg3156.21/evm.utg10470.33/evm.utg736.17/evm.utg8.57/evm.utg324.153/evm.utg1925.59/evm.utg162.7/evm.utg470.10/evm.utg101.113/evm.utg4468.28/evm.utg146.18/evm.utg37512.3/evm.utg10463.11/evm.utg7652.31/evm.utg11411.29/evm.utg577.53/evm.utg1683.20/evm.utg18271.3/evm.utg10588.30/evm.utg4886.11/evm.utg1056.28/evm.utg1781.29/evm.utg4605.27/evm.utg381.35/evm.utg3013.24/evm.utg1846.45","molecular_functions","salinity_added"
"GO:0005201...50","GO:0005201","extracellular matrix structural constituent",120,-0.478664580305197,-1.89019405995664,0.000184916042237418,0.00718134570782868,0.00654690351183629,5852,"tags=26%, list=14%, signal=22%","evm.utg820.6/evm.utg1052.36/evm.utg55667.1/evm.utg378.58/evm.utg1056.71/evm.utg9740.7/evm.utg378.57/evm.utg209609.2/evm.utg130819.1/utg154100.equina_smart_991908.mrna2/evm.utg1497.2/evm.utg1052.34/evm.utg145.64/evm.utg4907.54/utg19074.equina_smart_1694011.mrna2/evm.utg19074.8/evm.utg5885.76/evm.utg714.23/evm.utg2614.21/evm.utg14287.46/evm.utg1497.1/evm.utg485.6/evm.utg4826.1/evm.utg544.16/evm.utg816.13/evm.utg1056.72/evm.utg207.13/evm.utg616.15/evm.utg544.11/evm.utg55.212/utg544.equina_smart_1559235utrorf.mrna1","molecular_functions","salinity_added"
"GO:0003735...51","GO:0003735","structural constituent of ribosome",212,-0.404332248498802,-1.73558396534716,0.00019235747431684,0.00718134570782868,0.00654690351183629,15841,"tags=63%, list=38%, signal=40%","evm.utg729.96/evm.utg116.287/evm.utg14287.6/evm.utg3019.36/evm.utg77.8/evm.utg4464.16/evm.utg1846.8/evm.utg1648.24/evm.utg343339.2/evm.utg389.13/evm.utg411.52/evm.utg791.8/evm.utg1925.24/evm.utg729.98/evm.utg1372.18/evm.utg729.46/evm.utg301.37/evm.utg1588.14/evm.utg415.116/evm.utg483.56/evm.utg4716.3/utg788.equina_smart_1260423.mrna1/evm.utg3799.21/evm.utg479.58/evm.utg2929.10/evm.utg72.21/evm.utg6078.32/evm.utg126.157/utg86.equina_smart_1445806.mrna2/evm.utg3553.8/evm.utg301.138/evm.utg498.48/evm.utg579.15/evm.utg699.4/evm.utg579.70/evm.utg324.14/evm.utg1109.26/evm.utg798.61/evm.utg910.151/evm.utg418.50/evm.utg236.39/evm.utg116.286/evm.utg1800.6/evm.utg3839.30/evm.utg7145.61/evm.utg622.63/evm.utg207.63/evm.utg577.29/evm.utg344.47/evm.utg1910.32/evm.utg498.129/evm.utg2757.29/evm.utg20618.3/evm.utg2129.121/evm.utg7217.40/evm.utg2814.18/evm.utg55.88/evm.utg577.105/evm.utg301.49/evm.utg496.27/evm.utg890.45/utg2581.equina_smart_1098872.mrna2/evm.utg62.20/evm.utg381.21/evm.utg2967.31/evm.utg798.17/evm.utg3235.7/evm.utg5885.98/evm.utg7145.43/evm.utg129.21/evm.utg4610.29/evm.utg16027.9/evm.utg577.30/evm.utg1517.5/evm.utg320.85/evm.utg1910.34/evm.utg378.108/evm.utg236.43/evm.utg73.68/evm.utg868.49/evm.utg1565.85/evm.utg17809.12/evm.utg2007.14/evm.utg1109.3/evm.utg379.48/evm.utg4194.6/evm.utg597.5/evm.utg18.9/evm.utg3878.21/evm.utg498.143/evm.utg420.100/evm.utg207.20/evm.utg1226.13/evm.utg1931.13/evm.utg48209.2/evm.utg2108.6/evm.utg234.86/evm.utg8494.9/evm.utg15585.12/evm.utg378.170/evm.utg498.93/evm.utg18409.1/evm.utg2108.11/evm.utg597.212/evm.utg544.4/evm.utg92.66/evm.utg9216.5/evm.utg5652.50/evm.utg55.156/evm.utg1056.36/evm.utg1931.75/evm.utg3677.28/evm.utg797.57/evm.utg150.50/evm.utg6072.8/evm.utg234.64/evm.utg4886.30/evm.utg77.113/evm.utg1226.19/evm.utg5417.26/evm.utg535.38/evm.utg180.72/evm.utg17994.10/evm.utg243.70/evm.utg15585.14/evm.utg797.58/evm.utg14.81/evm.utg378.169/evm.utg577.73/evm.utg1507.31/evm.utg4187.32/evm.utg3790.42/evm.utg378.167/evm.utg378.168","molecular_functions","salinity_added"
"GO:0003964","GO:0003964","RNA-directed DNA polymerase activity",247,0.401263061342434,1.76291937073638,0.000303740107673461,0.00858586773258432,0.00782734182387856,11061,"tags=40%, list=26%, signal=30%","evm.utg924.14/evm.utg470.3/evm.utg3470.17/evm.utg777.82/evm.utg2097.25/evm.utg2247.20/evm.utg1243.6/evm.utg279.16/evm.utg5975.25/evm.utg5066.14/evm.utg4318.6/evm.utg18927.5/evm.utg5080.12/evm.utg1742.6/evm.utg912.13/evm.utg463.4/evm.utg8262.19/evm.utg18927.4/evm.utg298.110/evm.utg20813.5/evm.utg1800.22/evm.utg5885.79/evm.utg622.176/evm.utg15197.1/evm.utg1683.46/evm.utg5885.80/evm.utg1691.7/evm.utg62.117/evm.utg3452.14/evm.utg382.56/evm.utg3339.27/evm.utg24016.7/evm.utg1825.9/utg2123.evm.utg4318.6.mrna4/utg2849.evm.utg8262.19.mrna2/evm.utg1819.42/evm.utg31.90/evm.utg910.134/evm.utg2333.2/evm.utg4695.82/evm.utg6183.17/evm.utg2757.64/evm.utg405.29/evm.utg2483.23/evm.utg464.226/evm.utg38960.22/evm.utg4321.7/evm.utg4613.93/evm.utg7839.7/evm.utg7652.8/evm.utg2379.24/evm.utg26474.1/evm.utg498.68/evm.utg372.42/evm.utg882.9/evm.utg1663.14/evm.utg5294.35/evm.utg691.18/evm.utg192.83/evm.utg17102.18/evm.utg6504.6/evm.utg3093.5/evm.utg7286.2/evm.utg597.6/evm.utg2849.9/utg5447.evm.utg8262.27.mrna5/evm.utg17809.3/evm.utg2818.67/evm.utg5066.13/evm.utg989.36/evm.utg750.29/evm.utg1140.5/evm.utg6373.12/evm.utg24357.24/evm.utg31.10/evm.utg8262.27/evm.utg542.92/evm.utg19545.4/evm.utg3210.15/evm.utg207.1/evm.utg13981.26/evm.utg26337.7/evm.utg4972.5/evm.utg10114.11/evm.utg6504.1/evm.utg1694.57/utg1923.equina_smart_1488230.mrna3/evm.utg29.12/utg1290.equina_smart_1488230.mrna2/utg162.equina_smart_1488230.mrna1/evm.utg1395.39/evm.utg234.42/evm.utg10385.4/evm.utg464.178/evm.utg356.153/evm.utg25265.10/evm.utg186.13/evm.utg1143.29/utg3292.equina_smart_4256.mrna11","molecular_functions","salinity_added"
"GO:0022857...53","GO:0022857","transmembrane transporter activity",388,0.358967924532147,1.64938464897989,0.000275022200759414,0.00858586773258432,0.00782734182387856,5779,"tags=22%, list=14%, signal=19%","evm.utg52.15/evm.utg924.21/evm.utg217.36/evm.utg77.138/evm.utg924.22/evm.utg1919.26/evm.utg52.16/evm.utg1919.22/evm.utg1708.39/evm.utg1663.29/evm.utg1525.33/evm.utg209.48/evm.utg2216.16/evm.utg1919.21/evm.utg10.13/evm.utg381.32/evm.utg1663.28/evm.utg217.35/evm.utg1525.34/utg4207.equina_smart_512932.mrna1/evm.utg77.137/evm.utg2353.45/evm.utg666.32/evm.utg6432.52/evm.utg6432.47/utg750.equina_smart_1422918.mrna1/evm.utg2353.44/evm.utg401.48/evm.utg45687.7/evm.utg34691.12/utg750.equina_smart_1177674.mrna1/evm.utg12986.24/evm.utg411.79/evm.utg12986.23/evm.utg62.33/evm.utg1708.42/evm.utg2838.10/evm.utg5033.28/evm.utg3380.27/evm.utg4922.3/evm.utg236.37/evm.utg4046.38/evm.utg9740.6/evm.utg7839.6/evm.utg3642.10/evm.utg3753.64/evm.utg2353.42/evm.utg1278.85/evm.utg498.148/evm.utg750.64/evm.utg10470.29/evm.utg21228.1/evm.utg10541.25/evm.utg1278.86/evm.utg432.69/evm.utg498.183/evm.utg126.30/evm.utg408.48/evm.utg163.10/evm.utg729.163/evm.utg1565.23/evm.utg6422.7/evm.utg401.7/evm.utg857.13/evm.utg1272.54/evm.utg45687.8/evm.utg4922.1/evm.utg301.60/evm.utg2099.43/evm.utg1032.49/evm.utg3155.29/evm.utg1919.28/evm.utg3753.57/evm.utg5290.1/evm.utg7149.10/evm.utg12655.50/evm.utg15164.50/evm.utg401.6/evm.utg1694.38.39/evm.utg25826.24/evm.utg7661.1/evm.utg15164.51/evm.utg1588.9/evm.utg4567.20/evm.utg4172.12/evm.utg1565.22","molecular_functions","salinity_added"
"GO:0016491...54","GO:0016491","oxidoreductase activity",319,-0.359177412496912,-1.60384547645302,0.000306638133306583,0.00858586773258432,0.00782734182387856,6107,"tags=23%, list=15%, signal=20%","evm.utg356.157/evm.utg1972.1/evm.utg6958.33/evm.utg21766.4/evm.utg6806.24/evm.utg97204.6/evm.utg324.97/evm.utg470.94/evm.utg700.22/evm.utg280.49/evm.utg348.6/evm.utg8.13/evm.utg37453.6/evm.utg4155.27/evm.utg7855.26/evm.utg1031.57/evm.utg413.51/evm.utg1022.33/evm.utg22299.1/evm.utg2123.9/evm.utg3499.5/evm.utg239.19/evm.utg4.53/evm.utg5059.14/evm.utg172.138/evm.utg1221.18/evm.utg7931.8/evm.utg1455.33/evm.utg4326.30/evm.utg301.18/evm.utg20618.1/evm.utg320.120/evm.utg715.98/evm.utg101.99/evm.utg3753.16/evm.utg729.130/evm.utg4709.24/evm.utg3753.17/evm.utg21766.3/evm.utg217.29/evm.utg3499.3/evm.utg3797.30/evm.utg116.121/evm.utg467.6/evm.utg4709.19/evm.utg298.12/evm.utg4907.69/evm.utg1708.29/evm.utg38114.16/evm.utg532.16/evm.utg790.58/evm.utg413.52/evm.utg977.23/evm.utg2417.41/evm.utg1221.19/evm.utg1355.25/evm.utg3499.4/evm.utg298.11/evm.utg992.14/evm.utg3790.23/evm.utg307.15/evm.utg6958.34/evm.utg3499.9/evm.utg3019.11/evm.utg9668.2/evm.utg27.96/utg700.equina_smart_1421472.mrna1/evm.utg3019.12/evm.utg1455.34/evm.utg3499.7/evm.utg3499.10/evm.utg9668.1/utg700.equina_smart_1421475.mrna1","molecular_functions","salinity_added"
"GO:0000977...55","GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",19,-0.711671764402606,-1.97938988827893,0.000426654191838968,0.0110273698813764,0.0100531473542623,5307,"tags=58%, list=13%, signal=51%","evm.utg4082.25/evm.utg710.11/evm.utg7179.18/evm.utg564.25/evm.utg4605.34/evm.utg62.142/evm.utg2417.4/evm.utg4455.13/evm.utg1497.11/evm.utg109.42/evm.utg470.38","molecular_functions","salinity_added"
"GO:0015229","GO:0015229","L-ascorbic acid transmembrane transporter activity",14,0.751325163773495,1.92429620508459,0.00140402949466208,0.0336967078718899,0.0307197430786966,1448,"tags=43%, list=3%, signal=41%","evm.utg7652.27/evm.utg7652.24/evm.utg6183.14/evm.utg6183.15/evm.utg170.23/evm.utg170.24","molecular_functions","salinity_added"
"GO:0016747","GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups",60,-0.537748366111723,-1.90838864614063,0.00177819984392851,0.037627024677859,0.0343028326480482,7059,"tags=45%, list=17%, signal=38%","evm.utg686.44/evm.utg707.13/evm.utg714.30/evm.utg577.107/evm.utg790.16/evm.utg2073.3/evm.utg21766.40/evm.utg707.6/evm.utg2073.8/evm.utg280.6/evm.utg1056.48/evm.utg1571.19/evm.utg415.45/evm.utg300.20/evm.utg2246.60/evm.utg707.10/evm.utg300.18/evm.utg8609.15/evm.utg8778.4/evm.utg372.49/evm.utg707.5/evm.utg300.19/evm.utg245.25/evm.utg1507.30/evm.utg1290.23/evm.utg2073.5/evm.utg2814.29","molecular_functions","salinity_added"
"GO:0001786","GO:0001786","phosphatidylserine binding",37,-0.572898351657604,-1.83052355493067,0.00179176307989805,0.037627024677859,0.0343028326480482,6891,"tags=46%, list=16%, signal=38%","evm.utg1051.91/evm.utg2099.17/evm.utg2129.9/evm.utg27.149/evm.utg8.1/evm.utg2417.27/evm.utg2099.66/evm.utg1056.20/evm.utg2099.54/evm.utg418.76/evm.utg16283.16/evm.utg1251.12/evm.utg2417.28/evm.utg1051.92/evm.utg2129.10/evm.utg1051.93/evm.utg637.11","molecular_functions","salinity_added"
"GO:0004500","GO:0004500","dopamine beta-monooxygenase activity",29,-0.691707669709962,-2.12113713591598,0.00208160290379575,0.0388565875375206,0.0354237687137171,2324,"tags=24%, list=6%, signal=23%","evm.utg659.16/evm.utg579.102/utg432.equina_smart_1413652.mrna1/evm.utg125.186/evm.utg4207.21/evm.utg4207.19/evm.utg4207.20","molecular_functions","salinity_added"
"GO:0003684","GO:0003684","damaged DNA binding",33,-0.612044019114443,-1.92591029351298,0.00200986416141087,0.0388565875375206,0.0354237687137171,3694,"tags=36%, list=9%, signal=33%","evm.utg3797.13/evm.utg302.25/evm.utg1900.22/evm.utg10588.14/evm.utg4502.3/evm.utg622.145/evm.utg622.147/evm.utg1530.13/evm.utg2108.27/evm.utg9668.24/evm.utg700.10/evm.utg23233.3","molecular_functions","salinity_added"
"GO:0061780","GO:0061780","mitotic cohesin loading",60,-0.517330376565495,-1.79714578429772,0.000211600098470237,0.0303293474474006,0.0253177661678424,6382,"tags=52%, list=15%, signal=44%","evm.utg415.70/evm.utg5950.20/evm.utg625.110/evm.utg190.1/evm.utg858.19/evm.utg16036.16/evm.utg7264.7/evm.utg4383.28/evm.utg56.47/evm.utg2817.19/evm.utg3159.12/evm.utg149521.3/evm.utg2338.18/evm.utg2129.202/evm.utg4194.18/evm.utg381.50/evm.utg4501.15/evm.utg2115.15/evm.utg92.148/evm.utg1925.21/evm.utg92.119/evm.utg1243.12/evm.utg16036.27/evm.utg2581.2/evm.utg1900.25/evm.utg4194.25/evm.utg470.50/evm.utg225.60/evm.utg207.124/evm.utg1140.13/evm.utg7286.58","biological_processes","additive"
