"","x"
"evm.TU.utg8.41",6.92637562978348
"evm.TU.utg8.42",1.03930543959252
"evm.TU.utg8.43",0.218694561222587
"evm.TU.utg8.44",6.52624023438426
"evm.TU.utg8.45",2.07517061165612
"evm.TU.utg8.46",1.66329490837789
"evm.TU.utg8.47",1.71368097432233
"evm.TU.utg8.48",0.0119780701541523
"evm.TU.utg8.49",0.0440554619936041
"tRNAscan-SE.tRNA.utg8.Pseudo(CAT).1",0.0461515056771706
"evm.TU.utg8.50",0.0174055338560392
"evm.TU.utg8.51",0.0239862265225687
"evm.TU.utg8.52",0.0019453406981708
"evm.TU.utg8.53",0.00445137067471336
"evm.TU.utg8.54",61.0471998151686
"evm.TU.utg8.55",3.22735694543477
"evm.TU.utg8.56",69.7114918335618
"evm.TU.utg8.57",7.577412293264
"evm.TU.utg8.58",0.00151916380999229
"evm.TU.utg8.59",0
"evm.TU.utg8.60",0.352389329822616
"evm.TU.utg8.61",1.74228257219996
"evm.TU.utg8.62",0.000758043895998608
"evm.TU.utg8.63",0.000406131683046266
"evm.TU.utg8.64",0.0309062385591216
"evm.TU.utg8.65",0.152961991602677
"evm.TU.utg8.66",1.61126623464495
"evm.TU.utg8.67",0.00989298482203098
"evm.TU.utg8.68",0.000307223567006744
"evm.TU.utg8.69",0.00068266443349253
"evm.TU.utg8.70",6.51720530181805
"evm.TU.utg8.71",278.706121900425
"evm.TU.utg8.72",0.0939049511352292
"evm.TU.utg8.73",0.00485847492452422
"evm.TU.utg8.74",0.00575930224846766
"evm.TU.utg8.75",0.0485109829379365
"evm.TU.utg8.76",209.633906388834
"evm.TU.utg8.77",525.971653108562
"evm.TU.utg8.78",0.0848871949961066
"evm.TU.utg8.79",0.457457236728241
"evm.TU.utg8.80",0.00643837158654438
"evm.TU.utg8.81",4.30715576369294
"evm.TU.utg8.82",1.23043566930156
"evm.TU.utg8.83",0.000275102947306855
"evm.TU.utg8.84",0.177334559523252
"evm.TU.utg8.85",2.08116940819292
"evm.TU.utg8.86",0
"evm.TU.utg8.87",0.000751709113171151
"evm.TU.utg10.1",0.0503013186888452
"evm.TU.utg10.2",0.00298911658900997
"evm.TU.utg10.3",0.00465502005809779
"tRNAscan-SE.tRNA.utg10.Arg(TCT).1",0
"tRNAscan-SE.tRNA.utg10.Val(CAC).1",0
"tRNAscan-SE.tRNA.utg10.Val(AAC).2",0
"tRNAscan-SE.tRNA.utg10.Arg(TCT).2",0
"tRNAscan-SE.tRNA.utg10.SeC(TCA).1",0
"tRNAscan-SE.tRNA.utg10.Val(TAC).3",0
"tRNAscan-SE.tRNA.utg10.Arg(TCT).3",0
"tRNAscan-SE.tRNA.utg10.Val(AAC).4",0
"evm.TU.utg10.4",0.00990675765196648
"tRNAscan-SE.tRNA.utg10.Val(AAC).5",0
"evm.TU.utg10.5",27.7508164537013
"evm.TU.utg10.6",0.00886571008222477
"evm.TU.utg10.7",0.00104366193181125
"evm.TU.utg10.8",0.489082291832902
"evm.TU.utg10.9",0.330550793551856
"evm.TU.utg10.10",0.0472419624367728
"evm.TU.utg10.11",2.35491861102077
"evm.TU.utg10.12",3.66007185111625
"evm.TU.utg10.13",0.282162328609803
"evm.TU.utg10.14",39.2763749029135
"evm.TU.utg10.15",0.00914164258751399
"evm.TU.utg10.16",8.92010587478789
"evm.TU.utg10.17",0.0062349456208365
