"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","context","GO","region","experiment"
"GO:0035368","selenocysteine insertion sequence binding",0.0833333333333333,0.00021918151360491,0.285714285714286,380.202380952381,27.515834006067,1.13393011464461e-05,0.000181428818343137,0.000107424958229489,"evm.utg7127.52",2,"CpG","Molecular Functions","gene","Acute Experiment"
"GO:0035368","selenocysteine insertion sequence binding",0.0833333333333333,0.00021918151360491,0.285714285714286,380.202380952381,27.515834006067,1.13393011464461e-05,0.000181428818343137,0.000107424958229489,"utg7127.equina_smart_1282991.mrna2",2,"CpG","Molecular Functions","gene","Acute Experiment"
"GO:0006397","mRNA processing",0.111111111111111,0.013061797752809,0.00716845878136201,8.50657108721625,3.66528079983723,0.0226621264326251,0.0435268750726157,0.00916355264686647,"evm.utg2661.21",2,"CHG","Biological Processes","gene","Acute Experiment"
"GO:0006397","mRNA processing",0.111111111111111,0.013061797752809,0.00716845878136201,8.50657108721625,3.66528079983723,0.0226621264326251,0.0435268750726157,0.00916355264686647,"evm.utg1032.34",2,"CHH","Biological Processes","gene","Acute Experiment"
"GO:0004540","RNA nuclease activity",0.25,0.00272411309766102,0.0114942528735632,91.7729885057471,9.48881406935447,0.0108525160876044,0.0108525160876044,NA,"evm.utg2661.21",1,"CHG","Molecular Functions","exon","Acute Experiment"
"GO:0035368","selenocysteine insertion sequence binding",0.25,0.00021918151360491,0.142857142857143,1140.60714285714,33.7485500139099,0.000876479006858388,0.00175295801371678,0.000922609480903567,"evm.utg2661.20",1,"CHH","Molecular Functions","promoter","Acute Experiment"
"GO:0004674","protein serine/threonine kinase activity",0.25,0.0149669662147353,0.00209205020920502,16.7034518828452,3.87156909754636,0.0585398528794272,0.0585398528794272,0.0308104488839091,"evm.utg4613.33",1,"CHH","Molecular Functions","promoter","Acute Experiment"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.5,0.00828651685393259,0.00564971751412429,60.3389830508475,7.67110917774825,0.0165047520951357,0.0259535884933384,NA,"evm.utg363.1",1,"CHG","Biological Processes","exon","Acute Experiment"
"GO:0006397","mRNA processing",0.5,0.013061797752809,0.003584229390681,38.2795698924731,6.06530375056872,0.0259535884933384,0.0259535884933384,NA,"evm.utg2661.21",1,"CHG","Biological Processes","exon","Acute Experiment"
"GO:0005044","scavenger receptor activity",0.5,0.0150922127939381,0.004149377593361,33.1296680497925,7.95491068605347,0.00133667774507978,0.00267335549015955,NA,"evm.utg9625.2",2,"CpG","Molecular Functions","exon","Acute Experiment"
"GO:0005044","scavenger receptor activity",0.5,0.0150922127939381,0.004149377593361,33.1296680497925,7.95491068605347,0.00133667774507978,0.00267335549015955,NA,"evm.utg9625.2",2,"CHG","Molecular Functions","exon","Acute Experiment"
"GO:0005044","scavenger receptor activity",0.5,0.0150922127939381,0.004149377593361,33.1296680497925,7.95491068605347,0.00133667774507978,0.00267335549015955,NA,"evm.utg363.1",2,"CHG","Molecular Functions","exon","Acute Experiment"
"GO:0035368","selenocysteine insertion sequence binding",1,0.00021918151360491,0.142857142857143,4562.42857142857,67.538348894747,0.000219181513604783,0.000219181513604783,NA,"evm.utg7127.52.1.5c22f377.1.5c279739",1,"CHH","Molecular Functions","three_prime_UTR","Acute Experiment"
