"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"evm.TU.utg5.51",0.371223427277758,5.93000441607192e-05,0.032166090793255,0.860229771536515,NA
"evm.TU.utg5.52",31.5318207868539,-0.000112100190391278,0.0138503855476723,0.64914218968883,0.99999995182314
"evm.TU.utg5.53",348.971565201194,-0.000285903275453952,0.0101714135454819,0.414664012132016,0.99999995182314
"evm.TU.utg5.54",1852.97485704381,-0.000880812630997906,0.00958863060494103,0.243525842705842,0.99999995182314
"utg5.evm.utg2716.12.path6",154.488564809664,5.0608642492101e-06,0.00958300032724781,0.991831827541894,0.99999995182314
"evm.TU.utg5.55",655.557216429578,-0.000539060818827799,0.00963139960329147,0.361783981418741,0.99999995182314
"evm.TU.utg5.56",111.902279340019,0.00018360622869427,0.00972102669667308,0.652317060210558,0.99999995182314
"utg5.equina_smart_1391812.path1",379.77050066089,0.000151221257103152,0.00966391246421549,0.725330863053159,0.99999995182314
"evm.TU.utg5.57",78250.2434198974,-0.000111362674495996,0.00955596176921228,0.840977950945311,0.99999995182314
"evm.TU.utg5.58",0.140141514331263,2.68338359077386e-05,0.0321143465604488,0.936165354644692,NA
"evm.TU.utg5.59",0.584602553475429,-1.09415877141654e-05,0.0320101276046844,0.973975119772349,NA
"evm.TU.utg5.60",2.41744112221429,3.40010299734659e-05,0.0320664115357609,0.919337206018169,NA
"evm.TU.utg5.61",3.96082812935838,-1.49049261523725e-05,0.03200655026819,0.964564731190697,NA
"evm.TU.utg5.62",6.02608511624432,3.43318280340727e-05,0.0320645326889954,0.918562815544573,NA
"evm.TU.utg5.65",4695.0463222109,0.000116359011398096,0.00953707719518455,0.847365581347258,0.99999995182314
"evm.TU.utg5.66",126.423384819061,1.41908224601605e-05,0.00973566205475742,0.969187889243347,0.99999995182314
"evm.TU.utg5.69",0.214099436837176,-4.97491946677581e-05,0.032171853018326,0.882271552254154,NA
"evm.TU.utg5.70",0.268748761561298,-0.000153530636940148,0.0332544715886522,0.6545078794384,NA
"evm.TU.utg5.71",115.191113701617,0.000116476653783651,0.010066884977304,0.703488455628183,0.99999995182314
"evm.TU.utg5.72",26.3820459647281,0.000353455547093686,0.018649080246216,0.255193116862459,0.99999995182314
"evm.TU.utg7.3",112.787856397835,0.000128544300903571,0.0100001444449423,0.686378289040835,0.99999995182314
"evm.TU.utg7.4",208.996447133708,-0.00066786496273014,0.0102634371655637,0.167196759706253,0.99999995182314
"evm.TU.utg7.5",32.162856561645,-0.000200518303584509,0.0125696604129693,0.438998874426225,0.99999995182314
"evm.TU.utg7.6",314.350852713522,0.000214966121167367,0.010279595713158,0.495839893707549,0.99999995182314
"evm.TU.utg7.7",2386.22456760318,0.000203700666393085,0.00957607271457723,0.704397607236091,0.99999995182314
"evm.TU.utg7.8",816.57432453773,-3.55556380627294e-05,0.00949515309431951,0.963617438118158,0.99999995182314
"evm.TU.utg7.9",1.19393545442172,-0.000347072295978961,0.0347651380858529,0.377176826089193,NA
"evm.TU.utg7.10",35.9825992706573,4.83688983460123e-05,0.0102017166115093,0.862073103007337,0.99999995182314
"evm.TU.utg7.11",12.0759775760126,0.00037437904336336,0.0153953400249968,0.216405378425487,0.99999995182314
"evm.TU.utg7.12",151.708285712937,0.00123747637056027,0.0150087487649453,0.0281672900319447,0.99999995182314
"evm.TU.utg7.13",1358.32328859399,8.37162457652081e-05,0.00968739439077266,0.834239049519162,0.99999995182314
"evm.TU.utg7.14",165.800513400948,-0.000552589812068464,0.0102855646249264,0.208565502504117,0.99999995182314
"evm.TU.utg7.15",1745.57403195698,-6.3529617893031e-05,0.0095898574092579,0.896311322048667,0.99999995182314
"evm.TU.utg7.16",127.801565600384,-0.000182624440215329,0.00971621271570256,0.655604443266285,0.99999995182314
"utg7.equina_smart_1815377.path1",1545.42778642247,-8.99471307287847e-05,0.0175462700985498,0.747408278006853,0.99999995182314
"evm.TU.utg7.17",77.3811261297526,-1.50993469298248e-05,0.00970948754259497,0.968314845999004,0.99999995182314
"evm.TU.utg7.18",70.5701015705003,0.000165944855443691,0.0109694156058176,0.536348941324236,0.99999995182314
"evm.TU.utg7.19",3540.00441604159,-0.000191227667080046,0.00994583476909884,0.580959544634377,0.99999995182314
